Baseline,Tier,Parent,KPI,Grp_Comb,Num,Den,A0,Contribution,Parent,Child Ttl,QA Check,Parent Category,Parent Node,Child Category,Child Node,,,Category,Recommended Parent,Recommended Grp_Comb
,5,dom_int;D,A0,dom_int/station;D/BOS,173305,272639,63.57%,2.81%,9009617,,,dom_int,D,dom_int/station,D/BOS,sys/div/dom_int/dom_int/station;DL/ACS/D/D/BOI,,,,
,5,dom_int;D,A0,dom_int/station;D/BQK,4124,5920,69.66%,0.07%,9009617,,,dom_int,D,dom_int/station,D/BQK,sys/div/dom_int/dom_int/station;DL/ACS/D/D/BOS,,,,
,5,dom_int;D,A0,dom_int/station;D/BRD,2572,3464,74.25%,0.04%,9009617,,,dom_int,D,dom_int/station,D/BRD,sys/div/dom_int/dom_int/station;DL/ACS/D/D/BQK,,,,
,5,dom_int;D,A0,dom_int/station;D/BTM,1664,2006,82.95%,0.03%,9009617,,,dom_int,D,dom_int/station,D/BTM,sys/div/dom_int/dom_int/station;DL/ACS/D/D/BRD,,,,
,5,dom_int;D,A0,dom_int/station;D/BTR,6518,9277,70.26%,0.11%,9009617,,,dom_int,D,dom_int/station,D/BTR,sys/div/dom_int/dom_int/station;DL/ACS/D/D/BTM,,,,
,5,dom_int;D,A0,dom_int/station;D/BTV,9106,14256,63.87%,0.15%,9009617,,,dom_int,D,dom_int/station,D/BTV,sys/div/dom_int/dom_int/station;DL/ACS/D/D/BTR,,,,
,5,dom_int;D,A0,dom_int/station;D/BUF,20466,29960,68.31%,0.33%,9009617,,,dom_int,D,dom_int/station,D/BUF,sys/div/dom_int/dom_int/station;DL/ACS/D/D/BTV,,,,
,5,dom_int;D,A0,dom_int/station;D/BUR,6225,9548,65.20%,0.10%,9009617,,,dom_int,D,dom_int/station,D/BUR,sys/div/dom_int/dom_int/station;DL/ACS/D/D/BUF,,,,
,5,dom_int;D,A0,dom_int/station;D/BWI,22654,35213,64.33%,0.37%,9009617,,,dom_int,D,dom_int/station,D/BWI,sys/div/dom_int/dom_int/station;DL/ACS/D/D/BUR,,,,
,5,dom_int;D,A0,dom_int/station;D/BZN,13418,19421,69.09%,0.22%,9009617,,,dom_int,D,dom_int/station,D/BZN,sys/div/dom_int/dom_int/station;DL/ACS/D/D/BWI,,,,
,5,dom_int;D,A0,dom_int/station;D/CAE,11712,17543,66.76%,0.19%,9009617,,,dom_int,D,dom_int/station,D/CAE,sys/div/dom_int/dom_int/station;DL/ACS/D/D/BZN,,,,
,5,dom_int;D,A0,dom_int/station;D/CDC,2934,3492,84.02%,0.05%,9009617,,,dom_int,D,dom_int/station,D/CDC,sys/div/dom_int/dom_int/station;DL/ACS/D/D/CAE,,,,
,5,dom_int;D,A0,dom_int/station;D/CHA,14980,21819,68.66%,0.24%,9009617,,,dom_int,D,dom_int/station,D/CHA,sys/div/dom_int/dom_int/station;DL/ACS/D/D/CDC,,,,
,5,dom_int;D,A0,dom_int/station;D/CHO,7182,10890,65.95%,0.12%,9009617,,,dom_int,D,dom_int/station,D/CHO,sys/div/dom_int/dom_int/station;DL/ACS/D/D/CHA,,,,
,5,dom_int;D,A0,dom_int/station;D/CHS,25894,40667,63.67%,0.42%,9009617,,,dom_int,D,dom_int/station,D/CHS,sys/div/dom_int/dom_int/station;DL/ACS/D/D/CHO,,,,
,5,dom_int;D,A0,dom_int/station;D/CID,4275,7794,54.85%,0.07%,9009617,,,dom_int,D,dom_int/station,D/CID,sys/div/dom_int/dom_int/station;DL/ACS/D/D/CHS,,,,
,5,dom_int;D,A0,dom_int/station;D/CIU,2580,3869,66.68%,0.04%,9009617,,,dom_int,D,dom_int/station,D/CIU,sys/div/dom_int/dom_int/station;DL/ACS/D/D/CID,,,,
,5,dom_int;D,A0,dom_int/station;D/CLE,34814,53200,65.44%,0.56%,9009617,,,dom_int,D,dom_int/station,D/CLE,sys/div/dom_int/dom_int/station;DL/ACS/D/D/CIU,,,,
,5,dom_int;D,A0,dom_int/station;D/CLT,38731,55717,69.51%,0.63%,9009617,,,dom_int,D,dom_int/station,D/CLT,sys/div/dom_int/dom_int/station;DL/ACS/D/D/CLE,,,,
,5,dom_int;D,A0,dom_int/station;D/CMH,35945,54300,66.20%,0.58%,9009617,,,dom_int,D,dom_int/station,D/CMH,sys/div/dom_int/dom_int/station;DL/ACS/D/D/CLT,,,,
,5,dom_int;D,A0,dom_int/station;D/COS,5405,7673,70.44%,0.09%,9009617,,,dom_int,D,dom_int/station,D/COS,sys/div/dom_int/dom_int/station;DL/ACS/D/D/CMH,,,,
,5,dom_int;D,A0,dom_int/station;D/CRW,4428,7235,61.20%,0.07%,9009617,,,dom_int,D,dom_int/station,D/CRW,sys/div/dom_int/dom_int/station;DL/ACS/D/D/COS,,,,
,5,dom_int;D,A0,dom_int/station;D/CSG,1889,3142,60.12%,0.03%,9009617,,,dom_int,D,dom_int/station,D/CSG,sys/div/dom_int/dom_int/station;DL/ACS/D/D/CRW,,,,
,5,dom_int;D,A0,dom_int/station;D/CVG,60008,89482,67.06%,0.97%,9009617,,,dom_int,D,dom_int/station,D/CVG,sys/div/dom_int/dom_int/station;DL/ACS/D/D/CSG,,,,
,5,dom_int;D,A0,dom_int/station;D/CWA,2800,4028,69.51%,0.05%,9009617,,,dom_int,D,dom_int/station,D/CWA,sys/div/dom_int/dom_int/station;DL/ACS/D/D/CVG,,,,
,5,dom_int;D,A0,dom_int/station;D/DAB,6081,8225,73.93%,0.10%,9009617,,,dom_int,D,dom_int/station,D/DAB,sys/div/dom_int/dom_int/station;DL/ACS/D/D/CWA,,,,
,5,dom_int;D,A0,dom_int/station;D/DAL,7356,10245,71.80%,0.12%,9009617,,,dom_int,D,dom_int/station,D/DAL,sys/div/dom_int/dom_int/station;DL/ACS/D/D/DAB,,,,
,5,dom_int;D,A0,dom_int/station;D/DAY,6157,8426,73.07%,0.10%,9009617,,,dom_int,D,dom_int/station,D/DAY,sys/div/dom_int/dom_int/station;DL/ACS/D/D/DAL,,,,
,5,dom_int;D,A0,dom_int/station;D/DCA,62352,107338,58.09%,1.01%,9009617,,,dom_int,D,dom_int/station,D/DCA,sys/div/dom_int/dom_int/station;DL/ACS/D/D/DAY,,,,
,5,dom_int;D,A0,dom_int/station;D/DEN,41718,68708,60.72%,0.68%,9009617,,,dom_int,D,dom_int/station,D/DEN,sys/div/dom_int/dom_int/station;DL/ACS/D/D/DCA,,,,
,5,dom_int;D,A0,dom_int/station;D/DFW,38869,64954,59.84%,0.63%,9009617,,,dom_int,D,dom_int/station,D/DFW,sys/div/dom_int/dom_int/station;DL/ACS/D/D/DEN,,,,
,5,dom_int;D,A0,dom_int/station;D/DHN,3785,5612,67.44%,0.06%,9009617,,,dom_int,D,dom_int/station,D/DHN,sys/div/dom_int/dom_int/station;DL/ACS/D/D/DFW,,,,
,5,dom_int;D,A0,dom_int/station;D/DLH,5440,7730,70.38%,0.09%,9009617,,,dom_int,D,dom_int/station,D/DLH,sys/div/dom_int/dom_int/station;DL/ACS/D/D/DHN,,,,
,5,dom_int;D,A0,dom_int/station;D/DSM,15095,22558,66.92%,0.24%,9009617,,,dom_int,D,dom_int/station,D/DSM,sys/div/dom_int/dom_int/station;DL/ACS/D/D/DLH,,,,
,5,dom_int;D,A0,dom_int/station;D/DTW,417695,596873,69.98%,6.77%,9009617,,,dom_int,D,dom_int/station,D/DTW,sys/div/dom_int/dom_int/station;DL/ACS/D/D/DSM,,,,
,5,dom_int;D,A0,dom_int/station;D/ECP,10824,15989,67.70%,0.18%,9009617,,,dom_int,D,dom_int/station,D/ECP,sys/div/dom_int/dom_int/station;DL/ACS/D/D/DTW,,,,
,5,dom_int;D,A0,dom_int/station;D/EGE,1006,1739,57.85%,0.02%,9009617,,,dom_int,D,dom_int/station,D/EGE,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ECP,,,,
,5,dom_int;D,A0,dom_int/station;D/EKO,2845,3196,89.02%,0.05%,9009617,,,dom_int,D,dom_int/station,D/EKO,sys/div/dom_int/dom_int/station;DL/ACS/D/D/EGE,,,,
,5,dom_int;D,A0,dom_int/station;D/ELM,3164,5006,63.20%,0.05%,9009617,,,dom_int,D,dom_int/station,D/ELM,sys/div/dom_int/dom_int/station;DL/ACS/D/D/EKO,,,,
,5,dom_int;D,A0,dom_int/station;D/ELP,2470,3969,62.23%,0.04%,9009617,,,dom_int,D,dom_int/station,D/ELP,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ELM,,,,
,5,dom_int;D,A0,dom_int/station;D/ESC,2500,3344,74.76%,0.04%,9009617,,,dom_int,D,dom_int/station,D/ESC,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ELP,,,,
,5,dom_int;D,A0,dom_int/station;D/EUG,7757,9945,78.00%,0.13%,9009617,,,dom_int,D,dom_int/station,D/EUG,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ESC,,,,
,5,dom_int;D,A0,dom_int/station;D/EVV,4630,6661,69.51%,0.08%,9009617,,,dom_int,D,dom_int/station,D/EVV,sys/div/dom_int/dom_int/station;DL/ACS/D/D/EUG,,,,
,5,dom_int;D,A0,dom_int/station;D/EWR,28003,49138,56.99%,0.45%,9009617,,,dom_int,D,dom_int/station,D/EWR,sys/div/dom_int/dom_int/station;DL/ACS/D/D/EVV,,,,
,5,dom_int;D,A0,dom_int/station;D/EYW,5741,8829,65.02%,0.09%,9009617,,,dom_int,D,dom_int/station,D/EYW,sys/div/dom_int/dom_int/station;DL/ACS/D/D/EWR,,,,
,5,dom_int;D,A0,dom_int/station;D/FAI,2448,3899,62.79%,0.04%,9009617,,,dom_int,D,dom_int/station,D/FAI,sys/div/dom_int/dom_int/station;DL/ACS/D/D/EYW,,,,
,5,dom_int;D,A0,dom_int/station;D/FAR,7303,11166,65.40%,0.12%,9009617,,,dom_int,D,dom_int/station,D/FAR,sys/div/dom_int/dom_int/station;DL/ACS/D/D/FAI,,,,
,5,dom_int;D,A0,dom_int/station;D/FAT,6333,8093,78.25%,0.10%,9009617,,,dom_int,D,dom_int/station,D/FAT,sys/div/dom_int/dom_int/station;DL/ACS/D/D/FAR,,,,
,5,dom_int;D,A0,dom_int/station;D/FAY,4902,6988,70.15%,0.08%,9009617,,,dom_int,D,dom_int/station,D/FAY,sys/div/dom_int/dom_int/station;DL/ACS/D/D/FAT,,,,
,5,dom_int;D,A0,dom_int/station;D/FCA,6437,9088,70.83%,0.10%,9009617,,,dom_int,D,dom_int/station,D/FCA,sys/div/dom_int/dom_int/station;DL/ACS/D/D/FAY,,,,
,5,dom_int;D,A0,dom_int/station;D/FLL,38856,68880,56.41%,0.63%,9009617,,,dom_int,D,dom_int/station,D/FLL,sys/div/dom_int/dom_int/station;DL/ACS/D/D/FCA,,,,
,5,dom_int;D,A0,dom_int/station;D/FSD,7228,11636,62.12%,0.12%,9009617,,,dom_int,D,dom_int/station,D/FSD,sys/div/dom_int/dom_int/station;DL/ACS/D/D/FLL,,,,
,5,dom_int;D,A0,dom_int/station;D/FWA,7381,11562,63.84%,0.12%,9009617,,,dom_int,D,dom_int/station,D/FWA,sys/div/dom_int/dom_int/station;DL/ACS/D/D/FSD,,,,
,5,dom_int;D,A0,dom_int/station;D/GEG,26299,35984,73.09%,0.43%,9009617,,,dom_int,D,dom_int/station,D/GEG,sys/div/dom_int/dom_int/station;DL/ACS/D/D/FWA,,,,
,5,dom_int;D,A0,dom_int/station;D/GFK,4183,6044,69.21%,0.07%,9009617,,,dom_int,D,dom_int/station,D/GFK,sys/div/dom_int/dom_int/station;DL/ACS/D/D/GEG,,,,
,5,dom_int;D,A0,dom_int/station;D/GJT,2909,3277,88.77%,0.05%,9009617,,,dom_int,D,dom_int/station,D/GJT,sys/div/dom_int/dom_int/station;DL/ACS/D/D/GFK,,,,
,5,dom_int;D,A0,dom_int/station;D/GNV,7019,9382,74.81%,0.11%,9009617,,,dom_int,D,dom_int/station,D/GNV,sys/div/dom_int/dom_int/station;DL/ACS/D/D/GJT,,,,
,5,dom_int;D,A0,dom_int/station;D/GPT,5368,7340,73.13%,0.09%,9009617,,,dom_int,D,dom_int/station,D/GPT,sys/div/dom_int/dom_int/station;DL/ACS/D/D/GNV,,,,
,5,dom_int;D,A0,dom_int/station;D/GRB,9037,13758,65.69%,0.15%,9009617,,,dom_int,D,dom_int/station,D/GRB,sys/div/dom_int/dom_int/station;DL/ACS/D/D/GPT,,,,
,5,dom_int;D,A0,dom_int/station;D/GRR,21667,33212,65.24%,0.35%,9009617,,,dom_int,D,dom_int/station,D/GRR,sys/div/dom_int/dom_int/station;DL/ACS/D/D/GRB,,,,
,5,dom_int;D,A0,dom_int/station;D/GSO,18126,26451,68.53%,0.29%,9009617,,,dom_int,D,dom_int/station,D/GSO,sys/div/dom_int/dom_int/station;DL/ACS/D/D/GRR,,,,
,5,dom_int;D,A0,dom_int/station;D/GSP,18211,26957,67.56%,0.30%,9009617,,,dom_int,D,dom_int/station,D/GSP,sys/div/dom_int/dom_int/station;DL/ACS/D/D/GSO,,,,
,5,dom_int;D,A0,dom_int/station;D/GTF,5250,6476,81.07%,0.09%,9009617,,,dom_int,D,dom_int/station,D/GTF,sys/div/dom_int/dom_int/station;DL/ACS/D/D/GSP,,,,
,5,dom_int;D,A0,dom_int/station;D/GTR,2861,4045,70.73%,0.05%,9009617,,,dom_int,D,dom_int/station,D/GTR,sys/div/dom_int/dom_int/station;DL/ACS/D/D/GTF,,,,
,5,dom_int;D,A0,dom_int/station;D/HDN,309,716,43.16%,0.01%,9009617,,,dom_int,D,dom_int/station,D/HDN,sys/div/dom_int/dom_int/station;DL/ACS/D/D/GTR,,,,
,5,dom_int;D,A0,dom_int/station;D/HIB,2439,3440,70.90%,0.04%,9009617,,,dom_int,D,dom_int/station,D/HIB,sys/div/dom_int/dom_int/station;DL/ACS/D/D/HDN,,,,
,5,dom_int;D,A0,dom_int/station;D/HLN,3645,4038,90.27%,0.06%,9009617,,,dom_int,D,dom_int/station,D/HLN,sys/div/dom_int/dom_int/station;DL/ACS/D/D/HIB,,,,
,5,dom_int;D,A0,dom_int/station;D/HNL,12486,20382,61.26%,0.20%,9009617,,,dom_int,D,dom_int/station,D/HNL,sys/div/dom_int/dom_int/station;DL/ACS/D/D/HLN,,,,
,5,dom_int;D,A0,dom_int/station;D/HOU,5264,7899,66.64%,0.09%,9009617,,,dom_int,D,dom_int/station,D/HOU,sys/div/dom_int/dom_int/station;DL/ACS/D/D/HNL,,,,
,5,dom_int;D,A0,dom_int/station;D/HPN,9388,14862,63.17%,0.15%,9009617,,,dom_int,D,dom_int/station,D/HPN,sys/div/dom_int/dom_int/station;DL/ACS/D/D/HOU,,,,
,5,dom_int;D,A0,dom_int/station;D/HRL,686,927,74.00%,0.01%,9009617,,,dom_int,D,dom_int/station,D/HRL,sys/div/dom_int/dom_int/station;DL/ACS/D/D/HPN,,,,
,5,dom_int;D,A0,dom_int/station;D/HSV,13463,19534,68.92%,0.22%,9009617,,,dom_int,D,dom_int/station,D/HSV,sys/div/dom_int/dom_int/station;DL/ACS/D/D/HRL,,,,
,5,dom_int;D,A0,dom_int/station;D/IAD,18565,31312,59.29%,0.30%,9009617,,,dom_int,D,dom_int/station,D/IAD,sys/div/dom_int/dom_int/station;DL/ACS/D/D/HSV,,,,
,5,dom_int;D,A0,dom_int/station;D/IAH,29030,45735,63.47%,0.47%,9009617,,,dom_int,D,dom_int/station,D/IAH,sys/div/dom_int/dom_int/station;DL/ACS/D/D/IAD,,,,
,5,dom_int;D,A0,dom_int/station;D/ICT,7082,9833,72.02%,0.11%,9009617,,,dom_int,D,dom_int/station,D/ICT,sys/div/dom_int/dom_int/station;DL/ACS/D/D/IAH,,,,
,5,dom_int;D,A0,dom_int/station;D/IDA,4855,6542,74.21%,0.08%,9009617,,,dom_int,D,dom_int/station,D/IDA,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ICT,,,,
,5,dom_int;D,A0,dom_int/station;D/ILM,8721,12590,69.27%,0.14%,9009617,,,dom_int,D,dom_int/station,D/ILM,sys/div/dom_int/dom_int/station;DL/ACS/D/D/IDA,,,,
,5,dom_int;D,A0,dom_int/station;D/IMT,2491,3963,62.86%,0.04%,9009617,,,dom_int,D,dom_int/station,D/IMT,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ILM,,,,
,5,dom_int;D,A0,dom_int/station;D/IND,42807,62497,68.49%,0.69%,9009617,,,dom_int,D,dom_int/station,D/IND,sys/div/dom_int/dom_int/station;DL/ACS/D/D/IMT,,,,
,5,dom_int;D,A0,dom_int/station;D/INL,2560,3689,69.40%,0.04%,9009617,,,dom_int,D,dom_int/station,D/INL,sys/div/dom_int/dom_int/station;DL/ACS/D/D/IND,,,,
,5,dom_int;D,A0,dom_int/station;D/ITH,2613,3777,69.18%,0.04%,9009617,,,dom_int,D,dom_int/station,D/ITH,sys/div/dom_int/dom_int/station;DL/ACS/D/D/INL,,,,
,5,dom_int;D,A0,dom_int/station;D/JAC,6194,8827,70.17%,0.10%,9009617,,,dom_int,D,dom_int/station,D/JAC,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ITH,,,,
,5,dom_int;D,A0,dom_int/station;D/JAN,10226,14107,72.49%,0.17%,9009617,,,dom_int,D,dom_int/station,D/JAN,sys/div/dom_int/dom_int/station;DL/ACS/D/D/JAC,,,,
,5,dom_int;D,A0,dom_int/station;D/JAX,29276,46833,62.51%,0.47%,9009617,,,dom_int,D,dom_int/station,D/JAX,sys/div/dom_int/dom_int/station;DL/ACS/D/D/JAN,,,,
,5,dom_int;D,A0,dom_int/station;D/JFK,218722,313762,69.71%,3.55%,9009617,,,dom_int,D,dom_int/station,D/JFK,sys/div/dom_int/dom_int/station;DL/ACS/D/D/JAX,,,,
,5,dom_int;D,A0,dom_int/station;D/KOA,2954,4493,65.75%,0.05%,9009617,,,dom_int,D,dom_int/station,D/KOA,sys/div/dom_int/dom_int/station;DL/ACS/D/D/JFK,,,,
,5,dom_int;D,A0,dom_int/station;D/LAN,3669,5629,65.18%,0.06%,9009617,,,dom_int,D,dom_int/station,D/LAN,sys/div/dom_int/dom_int/station;DL/ACS/D/D/KOA,,,,
,5,dom_int;D,A0,dom_int/station;D/LAS,63999,99175,64.53%,1.04%,9009617,,,dom_int,D,dom_int/station,D/LAS,sys/div/dom_int/dom_int/station;DL/ACS/D/D/LAN,,,,
