Baseline,Category,Tier,Parent_Node,Node_Name,D0_Num,D0_Den,Baseline,Stretch,Contribution,Goal D0 Num,Goal D0 Den,Goal,,QA Roll-Up,Note
LTM,ML_Station,4,DL,FLL  ,"7,115","12,603",56.5%,,0.9%,7496,12840,58.4%,,,
LTM,ML_Station,4,DL,FSD  ,589,725,81.2%,,0.1%,621,739,84.0%,,,
LTM,ML_Station,4,DL,GEG  ,"1,926","2,564",75.1%,,0.2%,2029,2612,77.7%,,,
LTM,ML_Station,4,DL,GNV  ,"1,172","1,559",75.2%,,0.2%,1235,1588,77.7%,,,
LTM,ML_Station,4,DL,GPT  ,"1,021","1,296",78.8%,,0.1%,1076,1320,81.5%,,,
LTM,ML_Station,4,DL,GRB  ,432,540,80.0%,,0.1%,455,550,82.7%,,,
LTM,ML_Station,4,DL,GRR  ,"1,460","1,965",74.3%,,0.2%,1538,2002,76.8%,,,
LTM,ML_Station,4,DL,GSO  ,"2,128","2,698",78.9%,,0.3%,2242,2749,81.6%,,,
LTM,ML_Station,4,DL,GSP  ,"2,477","3,157",78.5%,,0.3%,2610,3216,81.1%,,,
LTM,ML_Station,4,DL,HDN  ,71,133,53.4%,,0.0%,75,136,55.2%,,,
LTM,ML_Station,4,DL,HNL  ,"3,009","4,030",74.7%,,0.4%,3170,4106,77.2%,,,
LTM,ML_Station,4,DL,HOU  ,982,"1,390",70.6%,,0.1%,1035,1416,73.1%,,,
LTM,ML_Station,4,DL,HPN  ,379,698,54.3%,,0.0%,399,711,56.2%,,,
LTM,ML_Station,4,DL,HRL  ,128,169,75.7%,,0.0%,135,172,78.3%,,,
LTM,ML_Station,4,DL,HSV  ,"1,705","2,190",77.9%,,0.2%,1796,2231,80.5%,,,
LTM,ML_Station,4,DL,IAD  ,"1,984","2,988",66.4%,,0.3%,2090,3044,68.7%,,,
LTM,ML_Station,4,DL,IAH  ,"5,191","8,218",63.2%,,0.7%,5469,8372,65.3%,,,
LTM,ML_Station,4,DL,ICT  ,781,"1,131",69.1%,,0.1%,823,1152,71.4%,,,
LTM,ML_Station,4,DL,IDA  ,237,314,75.5%,,0.0%,250,320,78.1%,,,
LTM,ML_Station,4,DL,ILM  ,795,"1,162",68.4%,,0.1%,838,1184,70.8%,,,
LTM,ML_Station,4,DL,IND  ,"3,447","4,418",78.0%,,0.4%,3632,4501,80.7%,,,
LTM,ML_Station,4,DL,JAC  ,634,935,67.8%,,0.1%,668,953,70.1%,,,
LTM,ML_Station,4,DL,JAN  ,"1,549","1,947",79.6%,,0.2%,1632,1984,82.3%,,,
LTM,ML_Station,4,DL,JAX  ,"3,436","5,136",66.9%,,0.4%,3620,5233,69.2%,,,
LTM,ML_Station,4,DL,JFK  ,"29,856","45,093",66.2%,,3.8%,31456,45941,68.5%,,,
LTM,ML_Station,4,DL,JNU  ,124,140,88.6%,,0.0%,131,143,91.6%,,,
LTM,ML_Station,4,DL,KOA  ,553,802,69.0%,,0.1%,583,817,71.3%,,,
LTM,ML_Station,4,DL,LAS  ,"10,541","15,525",67.9%,,1.4%,11106,15817,70.2%,,,
LTM,ML_Station,4,DL,LAX  ,"27,207","39,712",68.5%,,3.5%,28665,40458,70.9%,,,
LTM,ML_Station,4,DL,LEX  ,"1,613","2,006",80.4%,,0.2%,1699,2044,83.2%,,,
LTM,ML_Station,4,DL,LGA  ,"18,477","28,679",64.4%,,2.4%,19467,29218,66.6%,,,
LTM,ML_Station,4,DL,LGB  ,346,463,74.7%,,0.0%,365,472,77.3%,,,
LTM,ML_Station,4,DL,LIH  ,522,708,73.7%,,0.1%,550,721,76.2%,,,
LTM,ML_Station,4,DL,LIT  ,"1,713","2,247",76.2%,,0.2%,1805,2289,78.8%,,,
LTM,ML_Station,4,DL,MCI  ,"5,966","7,854",76.0%,,0.8%,6286,8002,78.6%,,,
LTM,ML_Station,4,DL,MCO  ,"13,291","21,145",62.9%,,1.7%,14003,21542,65.0%,,,
LTM,ML_Station,4,DL,MDT  ,657,958,68.6%,,0.1%,692,976,70.9%,,,
LTM,ML_Station,4,DL,MDW  ,981,"1,347",72.8%,,0.1%,1034,1372,75.3%,,,
LTM,ML_Station,4,DL,MEM  ,"3,195","4,288",74.5%,,0.4%,3366,4369,77.1%,,,
LTM,ML_Station,4,DL,MIA  ,"6,743","11,867",56.8%,,0.9%,7104,12090,58.8%,,,
LTM,ML_Station,4,DL,MKE  ,"2,789","3,708",75.2%,,0.4%,2938,3778,77.8%,,,
LTM,ML_Station,4,DL,MLB  ,"1,065","1,428",74.6%,,0.1%,1122,1455,77.1%,,,
LTM,ML_Station,4,DL,MOB  ,551,737,74.8%,,0.1%,581,751,77.3%,,,
LTM,ML_Station,4,DL,MSN  ,"1,390","1,715",81.0%,,0.2%,1465,1747,83.8%,,,
LTM,ML_Station,4,DL,MSO  ,762,952,80.0%,,0.1%,803,970,82.8%,,,
LTM,ML_Station,4,DL,MSP  ,"47,147","70,548",66.8%,,6.0%,49674,71874,69.1%,,,
LTM,ML_Station,4,DL,MSY  ,"5,093","7,397",68.9%,,0.7%,5366,7536,71.2%,,,
LTM,ML_Station,4,DL,MTJ  ,58,96,60.4%,,0.0%,61,98,62.5%,,,
LTM,ML_Station,4,DL,MYR  ,"1,628","2,217",73.4%,,0.2%,1715,2259,75.9%,,,
LTM,ML_Station,4,DL,OGG  ,982,"1,236",79.4%,,0.1%,1035,1259,82.2%,,,
LTM,ML_Station,4,DL,OKC  ,"1,313","1,686",77.9%,,0.2%,1383,1718,80.5%,,,
LTM,ML_Station,4,DL,OMA  ,"1,287","1,706",75.4%,,0.2%,1356,1738,78.0%,,,
LTM,ML_Station,4,DL,ONT  ,"1,473","1,841",80.0%,,0.2%,1552,1876,82.7%,,,
LTM,ML_Station,4,DL,ORD  ,"6,004","10,260",58.5%,,0.8%,6326,10453,60.5%,,,
LTM,ML_Station,4,DL,ORF  ,"2,162","3,204",67.5%,,0.3%,2278,3264,69.8%,,,
LTM,ML_Station,4,DL,PBI  ,"4,189","7,019",59.7%,,0.5%,4414,7151,61.7%,,,
LTM,ML_Station,4,DL,PDX  ,"5,166","7,183",71.9%,,0.7%,5443,7318,74.4%,,,
LTM,ML_Station,4,DL,PHL  ,"4,246","6,315",67.2%,,0.5%,4474,6434,69.5%,,,
LTM,ML_Station,4,DL,PHX  ,"7,464","10,545",70.8%,,1.0%,7864,10743,73.2%,,,
LTM,ML_Station,4,DL,PIT  ,"2,378","3,243",73.3%,,0.3%,2505,3304,75.8%,,,
LTM,ML_Station,4,DL,PNS  ,"2,304","2,814",81.9%,,0.3%,2427,2867,84.7%,,,
LTM,ML_Station,4,DL,PSC  ,532,591,90.0%,,0.1%,561,602,93.1%,,,
LTM,ML_Station,4,DL,PSP  ,468,775,60.4%,,0.1%,493,790,62.5%,,,
LTM,ML_Station,4,DL,PVD  ,844,"1,262",66.9%,,0.1%,889,1286,69.2%,,,
LTM,ML_Station,4,DL,PWM  ,732,"1,173",62.4%,,0.1%,771,1195,64.5%,,,
LTM,ML_Station,4,DL,RAP  ,13,19,68.4%,,0.0%,14,19,70.8%,,,
LTM,ML_Station,4,DL,RDU  ,"8,253","11,848",69.7%,,1.1%,8695,12071,72.0%,,,
LTM,ML_Station,4,DL,RIC  ,"2,113","2,841",74.4%,,0.3%,2226,2894,76.9%,,,
LTM,ML_Station,4,DL,RNO  ,794,"1,126",70.5%,,0.1%,837,1147,72.9%,,,
LTM,ML_Station,4,DL,ROA  ,298,356,83.7%,,0.0%,314,363,86.6%,,,
LTM,ML_Station,4,DL,ROC  ,578,"1,095",52.8%,,0.1%,609,1116,54.6%,,,
LTM,ML_Station,4,DL,RSW  ,"5,213","7,407",70.4%,,0.7%,5492,7546,72.8%,,,
LTM,ML_Station,4,DL,SAN  ,"6,611","9,466",69.8%,,0.8%,6965,9644,72.2%,,,
LTM,ML_Station,4,DL,SAT  ,"4,896","6,746",72.6%,,0.6%,5158,6873,75.1%,,,
LTM,ML_Station,4,DL,SAV  ,"2,655","3,686",72.0%,,0.3%,2797,3755,74.5%,,,
LTM,ML_Station,4,DL,SBA  ,241,348,69.3%,,0.0%,254,355,71.6%,,,
LTM,ML_Station,4,DL,SDF  ,"2,107","2,669",78.9%,,0.3%,2220,2719,81.6%,,,
LTM,ML_Station,4,DL,SEA  ,"22,916","35,330",64.9%,,2.9%,24144,35994,67.1%,,,
LTM,ML_Station,4,DL,SFO  ,"8,180","13,638",60.0%,,1.0%,8618,13894,62.0%,,,
LTM,ML_Station,4,DL,SGF  ,266,488,54.5%,,0.0%,280,497,56.4%,,,
LTM,ML_Station,4,DL,SJC  ,"2,270","2,781",81.6%,,0.3%,2392,2833,84.4%,,,
LTM,ML_Station,4,DL,SLC  ,"39,053","57,273",68.2%,,5.0%,41146,58350,70.5%,,,
LTM,ML_Station,4,DL,SMF  ,"2,746","3,405",80.6%,,0.4%,2893,3469,83.4%,,,
LTM,ML_Station,4,DL,SNA  ,"2,927","4,562",64.2%,,0.4%,3084,4648,66.4%,,,
LTM,ML_Station,4,DL,SRQ  ,"2,370","3,257",72.8%,,0.3%,2497,3318,75.3%,,,
LTM,ML_Station,4,DL,STL  ,"4,078","5,240",77.8%,,0.5%,4297,5338,80.5%,,,
LTM,ML_Station,4,DL,SYR  ,"1,057","1,421",74.4%,,0.1%,1114,1448,76.9%,,,
LTM,ML_Station,4,DL,TLH  ,"1,495","1,918",77.9%,,0.2%,1575,1954,80.6%,,,
LTM,ML_Station,4,DL,TPA  ,"9,191","13,968",65.8%,,1.2%,9684,14231,68.0%,,,
LTM,ML_Station,4,DL,TRI  ,276,387,71.3%,,0.0%,291,394,73.8%,,,
LTM,ML_Station,4,DL,TUL  ,"1,164","1,545",75.3%,,0.1%,1226,1574,77.9%,,,
LTM,ML_Station,4,DL,TUS  ,866,"1,096",79.0%,,0.1%,912,1117,81.7%,,,
LTM,ML_Station,4,DL,TVC  ,313,450,69.6%,,0.0%,330,458,71.9%,,,
LTM,ML_Station,4,DL,TYS  ,"1,274","1,690",75.4%,,0.2%,1342,1722,78.0%,,,
LTM,ML_Station,4,DL,VPS  ,"1,876","2,641",71.0%,,0.2%,1977,2691,73.5%,,,
LTM,ML_Station,4,DL,XNA  ,265,355,74.6%,,0.0%,279,362,77.2%,,,
