KPI_Name,parent,node,Tier,sys,Mo_Nb,frst_flt_ind,station,dom_int,Baseline,Baseline_Num,Baseline_Den,Goal,Stretch,Contribution,Goal_Num,Goal_Den,Source,Goal_Yr,YTD_Num,YTD_Den
D0,sys/1,First Flight,3.1,sys,1,First Flight,,,78.0,22027,28241,81.9,5.00%,0.24472269131632743,23128.35,28241,Cascaded,2027,23128.35,28241
D0,sys/1,Not First Flight,3.1,sys,1,Not First Flight,,,63.34,67981,107323,66.51,5.00%,0.7552773086836726,71380.05,107323,Cascaded,2027,71380.04999999999,107323
D0,sys/10,First Flight,3.1,sys,10,First Flight,,,85.78,24918,29048,90.07,5.00%,0.22010423107499338,26163.9,29048,Cascaded,2027,26163.9,29048
D0,sys/10,Not First Flight,3.1,sys,10,Not First Flight,,,70.2,88292,125772,73.71,5.00%,0.7798957689250067,92706.6,125772,Cascaded,2027,92706.6,125772
D0,sys/11,First Flight,3.1,sys,11,First Flight,,,83.85,23349,27847,88.04,5.00%,0.2308856103156396,24516.45,27847,Cascaded,2027,24516.449999999997,27847
D0,sys/11,Not First Flight,3.1,sys,11,Not First Flight,,,68.98,77779,112763,72.42,5.00%,0.7691143896843604,81667.95,112763,Cascaded,2027,81667.95,112763
D0,sys/12,First Flight,3.1,sys,12,First Flight,,,73.9,20724,28045,77.59,5.00%,0.24541126873978636,21760.2,28045,Cascaded,2027,21760.2,28045
D0,sys/12,Not First Flight,3.1,sys,12,Not First Flight,,,54.66,63722,116583,57.39,5.00%,0.7545887312602136,66908.1,116583,Cascaded,2027,66908.1,116583
D0,sys/2,First Flight,3.1,sys,2,First Flight,,,81.61,21405,26228,85.69,5.00%,0.23801316550282436,22475.25,26228,Cascaded,2027,22475.25,26228
D0,sys/2,Not First Flight,3.1,sys,2,Not First Flight,,,66.84,68527,102523,70.18,5.00%,0.7619868344971756,71953.35,102523,Cascaded,2027,71953.35,102523
D0,sys/3,First Flight,3.1,sys,3,First Flight,,,78.7,22774,28936,82.64,5.00%,0.2302078279152515,23912.7,28936,Cascaded,2027,23912.699999999997,28936
D0,sys/3,Not First Flight,3.1,sys,3,Not First Flight,,,62.72,76154,121418,65.86,5.00%,0.7697921720847485,79961.7,121418,Cascaded,2027,79961.7,121418
D0,sys/4,First Flight,3.1,sys,4,First Flight,,,85.37,24417,28600,89.64,5.00%,0.21826421975703725,25637.85,28600,Cascaded,2027,25637.85,28600
D0,sys/4,Not First Flight,3.1,sys,4,Not First Flight,,,70.26,87452,124470,73.77,5.00%,0.7817357802429628,91824.6,124470,Cascaded,2027,91824.59999999999,124470
D0,sys/5,First Flight,3.1,sys,5,First Flight,,,83.74,23828,28456,87.92,5.00%,0.22189732080496913,25019.4,28456,Cascaded,2027,25019.399999999998,28456
D0,sys/5,Not First Flight,3.1,sys,5,Not First Flight,,,66.49,83555,125670,69.81,5.00%,0.7781026791950308,87732.75,125670,Cascaded,2027,87732.75,125670
D0,sys/6,First Flight,3.1,sys,6,First Flight,,,79.66,21616,27136,83.64,5.00%,0.2275464230072845,22696.8,27136,Cascaded,2027,22696.8,27136
D0,sys/6,Not First Flight,3.1,sys,6,Not First Flight,,,57.44,73380,127760,60.31,5.00%,0.7724535769927154,77049.0,127760,Cascaded,2027,77049.0,127760
D0,sys/7,First Flight,3.1,sys,7,First Flight,,,80.78,22768,28185,84.82,5.00%,0.2288149220131854,23906.4,28185,Cascaded,2027,23906.399999999998,28185
D0,sys/7,Not First Flight,3.1,sys,7,Not First Flight,,,58.28,76736,131658,61.2,5.00%,0.7711850779868146,80572.8,131658,Cascaded,2027,80572.8,131658
D0,sys/8,First Flight,3.1,sys,8,First Flight,,,84.58,24335,28771,88.81,5.00%,0.2183862659403577,25551.75,28771,Cascaded,2027,25551.75,28771
D0,sys/8,Not First Flight,3.1,sys,8,Not First Flight,,,67.81,87096,128438,71.2,5.00%,0.7816137340596423,91450.8,128438,Cascaded,2027,91450.8,128438
D0,sys/9,First Flight,3.1,sys,9,First Flight,,,87.93,24867,28281,92.32,5.00%,0.21789266155531214,26110.35,28281,Cascaded,2027,26110.35,28281
D0,sys/9,Not First Flight,3.1,sys,9,Not First Flight,,,74.44,89258,119898,78.17,5.00%,0.7821073384446878,93720.9,119898,Cascaded,2027,93720.9,119898
D0,sys/1/D,ABE,4.0,sys,1,,ABE,D,70.89,56,79,74.43,5.00%,0.0006877072332064349,58.8,79,Cascaded,2027,58.8,79
D0,sys/1/D,ABQ,4.0,sys,1,,ABQ,D,85.59,196,229,89.87,5.00%,0.0024069753162225226,205.8,229,Cascaded,2027,205.8,229
D0,sys/1/D,ABR,4.0,sys,1,,ABR,D,74.58,44,59,78.31,5.00%,0.0005403413975193417,46.2,59,Cascaded,2027,46.2,59
D0,sys/1/D,ABY,4.0,sys,1,,ABY,D,83.12,64,77,87.27,5.00%,0.0007859511236644972,67.2,77,Cascaded,2027,67.2,77
D0,sys/1/D,AEX,4.0,sys,1,,AEX,D,68.75,55,80,72.19,5.00%,0.0006754267468991772,57.75,80,Cascaded,2027,57.75,80
D0,sys/1/D,AGS,4.0,sys,1,,AGS,D,76.44,133,174,80.26,5.00%,0.0016333046788652831,139.65,174,Cascaded,2027,139.65,174
D0,sys/1/D,ALB,4.0,sys,1,,ALB,D,65.57,139,212,68.84,5.00%,0.0017069875967088296,145.95,212,Cascaded,2027,145.95,212
D0,sys/1/D,ANC,4.0,sys,1,,ANC,D,66.67,112,168,70.0,5.00%,0.0013754144664128698,117.6,168,Cascaded,2027,117.6,168
D0,sys/1/D,APN,4.0,sys,1,,APN,D,59.62,31,52,62.6,5.00%,0.0003806950755249908,32.55,52,Cascaded,2027,32.55,52
D0,sys/1/D,ASE,4.0,sys,1,,ASE,D,45.05,41,91,47.31,5.00%,0.0005034999385975685,43.05,91,Cascaded,2027,43.05,91
D0,sys/1/D,ATL,4.0,sys,1,,ATL,D,66.37,13671,20598,69.69,5.00%,0.16788652830652093,14354.55,20598,Cascaded,2027,14354.55,20598
D0,sys/1/D,ATW,4.0,sys,1,,ATW,D,50.49,104,206,53.01,5.00%,0.0012771705759548077,109.2,206,Cascaded,2027,109.2,206
D0,sys/1/D,AUS,4.0,sys,1,,AUS,D,73.61,1029,1398,77.29,5.00%,0.012636620410168243,1080.45,1398,Cascaded,2027,1080.45,1398
D0,sys/1/D,AVL,4.0,sys,1,,AVL,D,77.54,145,187,81.42,5.00%,0.0017806705145523762,152.25,187,Cascaded,2027,152.25,187
D0,sys/1/D,AZO,4.0,sys,1,,AZO,D,48.61,35,72,51.04,5.00%,0.00042981702075402185,36.75,72,Cascaded,2027,36.75,72
D0,sys/1/D,BDL,4.0,sys,1,,BDL,D,70.38,202,287,73.9,5.00%,0.002480658234066069,212.1,287,Cascaded,2027,212.1,287
D0,sys/1/D,BGM,4.0,sys,1,,BGM,D,34.48,10,29,36.21,5.00%,0.00012280486307257767,10.5,29,Cascaded,2027,10.5,29
D0,sys/1/D,BGR,4.0,sys,1,,BGR,D,84.06,58,69,88.26,5.00%,0.0007122682058209505,60.9,69,Cascaded,2027,60.9,69
D0,sys/1/D,BHM,4.0,sys,1,,BHM,D,73.16,248,339,76.81,5.00%,0.0030455606041999263,260.4,339,Cascaded,2027,260.4,339
D0,sys/1/D,BIL,4.0,sys,1,,BIL,D,90.6,106,117,95.13,5.00%,0.0013017315485693234,111.3,117,Cascaded,2027,111.3,117
D0,sys/1/D,BIS,4.0,sys,1,,BIS,D,74.07,100,135,77.78,5.00%,0.0012280486307257768,105.0,135,Cascaded,2027,105.0,135
D0,sys/1/D,BJI,4.0,sys,1,,BJI,D,68.33,41,60,71.75,5.00%,0.0005034999385975685,43.05,60,Cascaded,2027,43.05,60
D0,sys/1/D,BMI,4.0,sys,1,,BMI,D,77.59,45,58,81.47,5.00%,0.0005526218838265996,47.25,58,Cascaded,2027,47.25,58
D0,sys/1/D,BNA,4.0,sys,1,,BNA,D,73.75,750,1017,77.43,5.00%,0.009210364730443326,787.5,1017,Cascaded,2027,787.5,1017
D0,sys/1/D,BOI,4.0,sys,1,,BOI,D,74.83,321,429,78.57,5.00%,0.0039420361046297436,337.05,429,Cascaded,2027,337.05,429
D0,sys/1/D,BOS,4.0,sys,1,,BOS,D,68.36,2348,3435,71.77,5.00%,0.028834581849441238,2465.4,3435,Cascaded,2027,2465.4,3435
D0,sys/1/D,BQK,4.0,sys,1,,BQK,D,69.41,59,85,72.88,5.00%,0.0007245486921282083,61.95,85,Cascaded,2027,61.95,85
D0,sys/1/D,BRD,4.0,sys,1,,BRD,D,69.81,37,53,73.3,5.00%,0.0004543779933685374,38.85,53,Cascaded,2027,38.85,53
D0,sys/1/D,BTM,4.0,sys,1,,BTM,D,100.0,30,30,105.0,5.00%,0.00036841458921773305,31.5,30,Cascaded,2027,31.5,30
D0,sys/1/D,BTR,4.0,sys,1,,BTR,D,70.97,88,124,74.52,5.00%,0.0010806827950386835,92.4,124,Cascaded,2027,92.4,124
D0,sys/1/D,BTV,4.0,sys,1,,BTV,D,61.9,117,189,65.0,5.00%,0.0014368168979491589,122.85,189,Cascaded,2027,122.85,189
D0,sys/1/D,BUF,4.0,sys,1,,BUF,D,56.94,205,360,59.79,5.00%,0.0025174996929878423,215.25,360,Cascaded,2027,215.25,360
D0,sys/1/D,BUR,4.0,sys,1,,BUR,D,82.11,101,123,86.22,5.00%,0.0012403291170330346,106.05,123,Cascaded,2027,106.05,123
D0,sys/1/D,BWI,4.0,sys,1,,BWI,D,67.85,287,423,71.24,5.00%,0.0035244995701829793,301.35,423,Cascaded,2027,301.35,423
D0,sys/1/D,BZN,4.0,sys,1,,BZN,D,74.65,215,288,78.39,5.00%,0.00264030455606042,225.75,288,Cascaded,2027,225.75,288
D0,sys/1/D,CAE,4.0,sys,1,,CAE,D,72.57,164,226,76.19,5.00%,0.002013999754390274,172.2,226,Cascaded,2027,172.2,226
D0,sys/1/D,CDC,4.0,sys,1,,CDC,D,94.34,50,53,99.06,5.00%,0.0006140243153628884,52.5,53,Cascaded,2027,52.5,53
D0,sys/1/D,CHA,4.0,sys,1,,CHA,D,70.97,176,248,74.52,5.00%,0.002161365590077367,184.8,248,Cascaded,2027,184.8,248
D0,sys/1/D,CHO,4.0,sys,1,,CHO,D,81.82,117,143,85.91,5.00%,0.0014368168979491589,122.85,143,Cascaded,2027,122.85,143
D0,sys/1/D,CHS,4.0,sys,1,,CHS,D,75.69,411,543,79.48,5.00%,0.005047279872282942,431.55,543,Cascaded,2027,431.55,543
D0,sys/1/D,CID,4.0,sys,1,,CID,D,68.47,76,111,71.89,5.00%,0.0009333169593515904,79.8,111,Cascaded,2027,79.8,111
D0,sys/1/D,CIU,4.0,sys,1,,CIU,D,61.54,32,52,64.62,5.00%,0.0003929755618322486,33.6,52,Cascaded,2027,33.6,52
D0,sys/1/D,CLE,4.0,sys,1,,CLE,D,57.31,396,691,60.17,5.00%,0.004863072577674076,415.8,691,Cascaded,2027,415.8,691
D0,sys/1/D,CLT,4.0,sys,1,,CLT,D,75.39,527,699,79.16,5.00%,0.006471816283924844,553.35,699,Cascaded,2027,553.35,699
D0,sys/1/D,CMH,4.0,sys,1,,CMH,D,74.34,533,717,78.05,5.00%,0.00654549920176839,559.65,717,Cascaded,2027,559.65,717
D0,sys/1/D,COS,4.0,sys,1,,COS,D,78.89,71,90,82.83,5.00%,0.0008719145278153014,74.55,90,Cascaded,2027,74.55,90
D0,sys/1/D,CRW,4.0,sys,1,,CRW,D,47.78,43,90,50.17,5.00%,0.000528060911212084,45.15,90,Cascaded,2027,45.15,90
D0,sys/1/D,CSG,4.0,sys,1,,CSG,D,76.54,62,81,80.37,5.00%,0.0007613901510499816,65.1,81,Cascaded,2027,65.1,81
D0,sys/1/D,CVG,4.0,sys,1,,CVG,D,70.28,823,1171,73.8,5.00%,0.010106840230873142,864.15,1171,Cascaded,2027,864.15,1171
D0,sys/1/D,CWA,4.0,sys,1,,CWA,D,74.19,46,62,77.9,5.00%,0.0005649023701338573,48.3,62,Cascaded,2027,48.3,62
D0,sys/1/D,DAB,4.0,sys,1,,DAB,D,70.69,82,116,74.22,5.00%,0.001006999877195137,86.1,116,Cascaded,2027,86.1,116
D0,sys/1/D,DAL,4.0,sys,1,,DAL,D,59.38,76,128,62.34,5.00%,0.0009333169593515904,79.8,128,Cascaded,2027,79.8,128
D0,sys/1/D,DAY,4.0,sys,1,,DAY,D,77.55,76,98,81.43,5.00%,0.0009333169593515904,79.8,98,Cascaded,2027,79.8,98
D0,sys/1/D,DCA,4.0,sys,1,,DCA,D,65.39,992,1517,68.66,5.00%,0.012182242416799705,1041.6,1517,Cascaded,2027,1041.6,1517
D0,sys/1/D,DEN,4.0,sys,1,,DEN,D,67.14,662,986,70.5,5.00%,0.008129681935404642,695.1,986,Cascaded,2027,695.1,986
D0,sys/1/D,DFW,4.0,sys,1,,DFW,D,70.74,602,851,74.28,5.00%,0.007392852756969176,632.1,851,Cascaded,2027,632.1,851
D0,sys/1/D,DHN,4.0,sys,1,,DHN,D,64.1,50,78,67.31,5.00%,0.0006140243153628884,52.5,78,Cascaded,2027,52.5,78
D0,sys/1/D,DJT,4.0,sys,1,,DJT,D,56.18,350,623,58.99,5.00%,0.004298170207540219,367.5,623,Cascaded,2027,367.5,623
D0,sys/1/D,DLH,4.0,sys,1,,DLH,D,65.49,74,113,68.76,5.00%,0.0009087559867370748,77.7,113,Cascaded,2027,77.7,113
D0,sys/1/D,DSM,4.0,sys,1,,DSM,D,68.56,181,264,71.99,5.00%,0.0022227680216136557,190.05,264,Cascaded,2027,190.05,264
D0,sys/1/D,DTW,4.0,sys,1,,DTW,D,52.39,4082,7792,55.01,5.00%,0.05012894510622621,4286.1,7792,Cascaded,2027,4286.1,7792
D0,sys/1/D,ECP,4.0,sys,1,,ECP,D,70.98,137,193,74.53,5.00%,0.001682426624094314,143.85,193,Cascaded,2027,143.85,193
D0,sys/1/D,EGE,4.0,sys,1,,EGE,D,68.37,67,98,71.79,5.00%,0.0008227925825862704,70.35,98,Cascaded,2027,70.35,98
D0,sys/1/D,EKO,4.0,sys,1,,EKO,D,85.42,41,48,89.69,5.00%,0.0005034999385975685,43.05,48,Cascaded,2027,43.05,48
D0,sys/1/D,ELM,4.0,sys,1,,ELM,D,68.42,39,57,71.84,5.00%,0.0004789389659830529,40.95,57,Cascaded,2027,40.95,57
D0,sys/1/D,ELP,4.0,sys,1,,ELP,D,60.71,34,56,63.75,5.00%,0.0004175365344467641,35.7,56,Cascaded,2027,35.7,56
D0,sys/1/D,ESC,4.0,sys,1,,ESC,D,80.0,40,50,84.0,5.00%,0.0004912194522903107,42.0,50,Cascaded,2027,42.0,50
D0,sys/1/D,EUG,4.0,sys,1,,EUG,D,83.92,120,143,88.11,5.00%,0.0014736583568709322,126.0,143,Cascaded,2027,126.0,143
D0,sys/1/D,EVV,4.0,sys,1,,EVV,D,74.68,59,79,78.42,5.00%,0.0007245486921282083,61.95,79,Cascaded,2027,61.95,79
D0,sys/1/D,EWR,4.0,sys,1,,EWR,D,72.1,504,699,75.71,5.00%,0.0061893650988579145,529.2,699,Cascaded,2027,529.2,699
D0,sys/1/D,EYW,4.0,sys,1,,EYW,D,58.39,87,149,61.31,5.00%,0.0010684023087314258,91.35,149,Cascaded,2027,91.35,149
D0,sys/1/D,FAI,4.0,sys,1,,FAI,D,64.0,16,25,67.2,5.00%,0.0001964877809161243,16.8,25,Cascaded,2027,16.8,25
D0,sys/1/D,FAR,4.0,sys,1,,FAR,D,57.47,100,174,60.34,5.00%,0.0012280486307257768,105.0,174,Cascaded,2027,105.0,174
D0,sys/1/D,FAT,4.0,sys,1,,FAT,D,89.11,90,101,93.56,5.00%,0.0011052437676531991,94.5,101,Cascaded,2027,94.5,101
D0,sys/1/D,FAY,4.0,sys,1,,FAY,D,74.71,65,87,78.45,5.00%,0.0007982316099717549,68.25,87,Cascaded,2027,68.25,87
D0,sys/1/D,FCA,4.0,sys,1,,FCA,D,73.5,86,117,77.18,5.00%,0.001056121822424168,90.3,117,Cascaded,2027,90.3,117
D0,sys/1/D,FLL,4.0,sys,1,,FLL,D,48.45,547,1129,50.87,5.00%,0.006717426010069999,574.35,1129,Cascaded,2027,574.35,1129
D0,sys/1/D,FSD,4.0,sys,1,,FSD,D,70.24,118,168,73.75,5.00%,0.0014490973842564165,123.9,168,Cascaded,2027,123.9,168
D0,sys/1/D,FWA,4.0,sys,1,,FWA,D,62.72,106,169,65.86,5.00%,0.0013017315485693234,111.3,169,Cascaded,2027,111.3,169
D0,sys/1/D,GEG,4.0,sys,1,,GEG,D,75.16,351,467,78.92,5.00%,0.004310450693847476,368.55,467,Cascaded,2027,368.55,467
D0,sys/1/D,GFK,4.0,sys,1,,GFK,D,68.54,61,89,71.97,5.00%,0.0007491096647427238,64.05,89,Cascaded,2027,64.05,89
D0,sys/1/D,GJT,4.0,sys,1,,GJT,D,96.77,30,31,101.61,5.00%,0.00036841458921773305,31.5,31,Cascaded,2027,31.5,31
D0,sys/1/D,GNV,4.0,sys,1,,GNV,D,76.74,99,129,80.58,5.00%,0.001215768144418519,103.95,129,Cascaded,2027,103.95,129
D0,sys/1/D,GPT,4.0,sys,1,,GPT,D,71.88,69,96,75.47,5.00%,0.000847353555200786,72.45,96,Cascaded,2027,72.45,96
D0,sys/1/D,GRB,4.0,sys,1,,GRB,D,69.46,141,203,72.93,5.00%,0.0017315485693233453,148.05,203,Cascaded,2027,148.05,203
D0,sys/1/D,GRR,4.0,sys,1,,GRR,D,54.07,239,442,56.78,5.00%,0.0029350362274346065,250.95,442,Cascaded,2027,250.95,442
D0,sys/1/D,GSO,4.0,sys,1,,GSO,D,80.43,263,327,84.45,5.00%,0.0032297678988087927,276.15,327,Cascaded,2027,276.15,327
D0,sys/1/D,GSP,4.0,sys,1,,GSP,D,79.75,252,316,83.73,5.00%,0.0030946825494289573,264.6,316,Cascaded,2027,264.6,316
D0,sys/1/D,GTF,4.0,sys,1,,GTF,D,86.05,74,86,90.35,5.00%,0.0009087559867370748,77.7,86,Cascaded,2027,77.7,86
D0,sys/1/D,GTR,4.0,sys,1,,GTR,D,72.88,43,59,76.53,5.00%,0.000528060911212084,45.15,59,Cascaded,2027,45.15,59
D0,sys/1/D,HDN,4.0,sys,1,,HDN,D,64.29,27,42,67.5,5.00%,0.0003315731302959597,28.35,42,Cascaded,2027,28.35,42
D0,sys/1/D,HIB,4.0,sys,1,,HIB,D,81.13,43,53,85.19,5.00%,0.000528060911212084,45.15,53,Cascaded,2027,45.15,53
D0,sys/1/D,HLN,4.0,sys,1,,HLN,D,93.44,57,61,98.11,5.00%,0.0006999877195136928,59.85,61,Cascaded,2027,59.85,61
D0,sys/1/D,HNL,4.0,sys,1,,HNL,D,61.92,200,323,65.02,5.00%,0.0024560972614515535,210.0,323,Cascaded,2027,210.0,323
D0,sys/1/D,HOU,4.0,sys,1,,HOU,D,68.82,64,93,72.26,5.00%,0.0007859511236644972,67.2,93,Cascaded,2027,67.2,93
D0,sys/1/D,HPN,4.0,sys,1,,HPN,D,55.81,120,215,58.6,5.00%,0.0014736583568709322,126.0,215,Cascaded,2027,126.0,215
D0,sys/1/D,HRL,4.0,sys,1,,HRL,D,84.21,16,19,88.42,5.00%,0.0001964877809161243,16.8,19,Cascaded,2027,16.8,19
D0,sys/1/D,HSV,4.0,sys,1,,HSV,D,76.42,175,229,80.24,5.00%,0.0021490851037701095,183.75,229,Cascaded,2027,183.75,229
D0,sys/1/D,IAD,4.0,sys,1,,IAD,D,62.44,246,394,65.56,5.00%,0.0030209996315854106,258.3,394,Cascaded,2027,258.3,394
D0,sys/1/D,IAH,4.0,sys,1,,IAH,D,69.11,425,615,72.56,5.00%,0.005219206680584551,446.25,615,Cascaded,2027,446.25,615
D0,sys/1/D,ICT,4.0,sys,1,,ICT,D,72.57,82,113,76.19,5.00%,0.001006999877195137,86.1,113,Cascaded,2027,86.1,113
D0,sys/1/D,IDA,4.0,sys,1,,IDA,D,74.7,62,83,78.43,5.00%,0.0007613901510499816,65.1,83,Cascaded,2027,65.1,83
D0,sys/1/D,ILM,4.0,sys,1,,ILM,D,70.37,95,135,73.89,5.00%,0.001166646199189488,99.75,135,Cascaded,2027,99.75,135
D0,sys/1/D,IMT,4.0,sys,1,,IMT,D,50.85,30,59,53.39,5.00%,0.00036841458921773305,31.5,59,Cascaded,2027,31.5,59
D0,sys/1/D,IND,4.0,sys,1,,IND,D,69.81,592,848,73.3,5.00%,0.007270047893896598,621.6,848,Cascaded,2027,621.6,848
D0,sys/1/D,INL,4.0,sys,1,,INL,D,71.7,38,53,75.28,5.00%,0.0004666584796757952,39.9,53,Cascaded,2027,39.9,53
D0,sys/1/D,ITH,4.0,sys,1,,ITH,D,87.5,49,56,91.88,5.00%,0.0006017438290556306,51.45,56,Cascaded,2027,51.45,56
D0,sys/1/D,JAC,4.0,sys,1,,JAC,D,62.25,94,151,65.36,5.00%,0.00115436571288223,98.7,151,Cascaded,2027,98.7,151
D0,sys/1/D,JAN,4.0,sys,1,,JAN,D,83.33,160,192,87.5,5.00%,0.0019648778091612426,168.0,192,Cascaded,2027,168.0,192
D0,sys/1/D,JAX,4.0,sys,1,,JAX,D,68.91,430,624,72.36,5.00%,0.00528060911212084,451.5,624,Cascaded,2027,451.5,624
D0,sys/1/D,JFK,4.0,sys,1,,JFK,D,66.17,2860,4322,69.48,5.00%,0.035122190838757214,3003.0,4322,Cascaded,2027,3003.0,4322
D0,sys/1/D,KOA,4.0,sys,1,,KOA,D,49.4,41,83,51.87,5.00%,0.0005034999385975685,43.05,83,Cascaded,2027,43.05,83
D0,sys/1/D,LAN,4.0,sys,1,,LAN,D,53.66,44,82,56.34,5.00%,0.0005403413975193417,46.2,82,Cascaded,2027,46.2,82
D0,sys/1/D,LAS,4.0,sys,1,,LAS,D,68.86,975,1416,72.3,5.00%,0.011973474149576323,1023.75,1416,Cascaded,2027,1023.75,1416
