KPI_Name,parent,node,Tier,sys,ml_dc_1,ml_dc_2,fleet,frst_flt_ind,vendor,Baseline,Baseline_Num,Baseline_Den,Goal,Stretch,Contribution,Goal_Num,Goal_Den,Source,Goal_Yr,YTD_Num,YTD_Den
D0,sys/DL/DL,35L,4.0,sys,DL,DL,35L,,,20.95,141,673,22.0,5.00%,0.0001831216395231045,148.05,673,Cascaded,2027,148.05,673
D0,sys/DL/DL,717,4.0,sys,DL,DL,717,,,70.65,101145,143168,74.18,5.00%,0.1313605548196057,106202.25,143168,Cascaded,2027,106202.25,143168
D0,sys/DL/DL,738,4.0,sys,DL,DL,738,,,67.96,68280,100467,71.36,5.00%,0.08867762799033742,71694.0,100467,Cascaded,2027,71694.0,100467
D0,sys/DL/DL,739,4.0,sys,DL,DL,739,,,72.3,161039,222749,75.91,5.00%,0.20914699083093066,169090.95,222749,Cascaded,2027,169090.95,222749
D0,sys/DL/DL,757,4.0,sys,DL,DL,757,,,58.79,57240,97360,61.73,5.00%,0.07433959323618795,60102.0,97360,Cascaded,2027,60102.0,97360
D0,sys/DL/DL,763,4.0,sys,DL,DL,763,,,64.75,16451,25405,67.99,5.00%,0.021365490012727605,17273.55,25405,Cascaded,2027,17273.55,25405
D0,sys/DL/DL,764,4.0,sys,DL,DL,764,,,59.35,7120,11996,62.32,5.00%,0.009246993428400737,7476.0,11996,Cascaded,2027,7476.0,11996
D0,sys/DC/9E,First Flight,4.1,sys,DC,9E,,First Flight,,83.97,36197,43108,88.17,5.00%,0.20818188092389803,38006.85,43108,Cascaded,2027,38006.85,43108
D0,sys/DC/9E,Not First Flight,4.1,sys,DC,9E,,Not First Flight,,65.0,137675,211796,68.25,5.00%,0.791818119076102,144558.75,211796,Cascaded,2027,144558.75,211796
D0,sys/DC/OO,First Flight,4.1,sys,DC,OO,,First Flight,,87.44,37989,43448,91.81,5.00%,0.18755924638597046,39888.45,43448,Cascaded,2027,39888.450000000004,43448
D0,sys/DC/OO,Not First Flight,4.1,sys,DC,OO,,Not First Flight,,74.01,164555,222343,77.71,5.00%,0.8124407536140296,172782.75,222343,Cascaded,2027,172782.75,222343
D0,sys/DC/YX,First Flight,4.1,sys,DC,YX,,First Flight,,85.77,15357,17905,90.06,5.00%,0.21763222039566918,16124.85,17905,Cascaded,2027,16124.849999999999,17905
D0,sys/DC/YX,Not First Flight,4.1,sys,DC,YX,,Not First Flight,,68.05,55207,81123,71.46,5.00%,0.7823677796043308,57967.35,81123,Cascaded,2027,57967.35,81123
D0,sys/DL/DL,First Flight,4.1,sys,DL,DL,,First Flight,,80.36,187485,233313,84.38,5.00%,0.24349333748928545,196859.25,233313,Cascaded,2027,196859.25,233313
D0,sys/DL/DL,Not First Flight,4.1,sys,DL,DL,,Not First Flight,,62.7,582495,929014,65.84,5.00%,0.7565066625107145,611619.75,929014,Cascaded,2027,611619.75,929014
D0,sys/DC/9E/First Flight,Delta,5.1,sys,DC,9E,,First Flight,Delta,83.53,21599,25857,87.71,5.00%,0.5967069094123822,22678.95,25857,Cascaded,2027,22678.95,25857
D0,sys/DC/9E/First Flight,Executive Aviation,5.1,sys,DC,9E,,First Flight,Executive Aviation,84.91,90,106,89.15,5.00%,0.0024863939000469653,94.5,106,Cascaded,2027,94.5,106
D0,sys/DC/9E/First Flight,Menzies Aviation,5.1,sys,DC,9E,,First Flight,Menzies Aviation,88.01,1409,1601,92.41,5.00%,0.03892587783517971,1479.45,1601,Cascaded,2027,1479.4499999999998,1601
D0,sys/DC/9E/First Flight,Unifi,5.1,sys,DC,9E,,First Flight,Unifi,84.27,13099,15544,88.48,5.00%,0.3618808188523911,13753.95,15544,Cascaded,2027,13753.949999999999,15544
D0,sys/DC/9E/Not First Flight,Delta,5.1,sys,DC,9E,,Not First Flight,Delta,64.9,90764,139857,68.14,5.00%,0.6592627564917378,95302.2,139857,Cascaded,2027,95302.2,139857
D0,sys/DC/9E/Not First Flight,Executive Aviation,5.1,sys,DC,9E,,Not First Flight,Executive Aviation,74.47,105,141,78.19,5.00%,0.000762665698202288,110.25,141,Cascaded,2027,110.25,141
D0,sys/DC/9E/Not First Flight,Menzies Aviation,5.1,sys,DC,9E,,Not First Flight,Menzies Aviation,66.6,1960,2943,69.93,5.00%,0.01423642636644271,2058.0,2943,Cascaded,2027,2058.0,2943
D0,sys/DC/9E/Not First Flight,Omega Aviation,5.1,sys,DC,9E,,Not First Flight,Omega Aviation,64.66,333,515,67.89,5.00%,0.0024187397857272563,349.65,515,Cascaded,2027,349.65,515
D0,sys/DC/9E/Not First Flight,Unifi,5.1,sys,DC,9E,,Not First Flight,Unifi,65.13,44513,68340,68.39,5.00%,0.32331941165788997,46738.65,68340,Cascaded,2027,46738.65,68340
D0,sys/DC/OO/First Flight,Delta,5.1,sys,DC,OO,,First Flight,Delta,87.72,17292,19713,92.1,5.00%,0.45518439548290296,18156.6,19713,Cascaded,2027,18156.600000000002,19713
D0,sys/DC/OO/First Flight,GAT,5.1,sys,DC,OO,,First Flight,GAT,100.0,34,34,105.0,5.00%,0.0008949959198715418,35.7,34,Cascaded,2027,35.7,34
D0,sys/DC/OO/First Flight,HHS Aviation,5.1,sys,DC,OO,,First Flight,HHS Aviation,83.7,113,135,87.89,5.00%,0.002974545263102477,118.65,135,Cascaded,2027,118.65000000000002,135
D0,sys/DC/OO/First Flight,Menzies Aviation,5.1,sys,DC,OO,,First Flight,Menzies Aviation,93.14,584,627,97.8,5.00%,0.01537287109426413,613.2,627,Cascaded,2027,613.2,627
D0,sys/DC/OO/First Flight,PRIMEFLIGHT AVIATION SERVICES CANADA,5.1,sys,DC,OO,,First Flight,PRIMEFLIGHT AVIATION SERVICES CANADA,89.8,220,245,94.29,5.00%,0.005791150069757035,231.0,245,Cascaded,2027,231.00000000000003,245
D0,sys/DC/OO/First Flight,PrimeFlight,5.1,sys,DC,OO,,First Flight,PrimeFlight,93.5,302,323,98.17,5.00%,0.00794966964121193,317.1,323,Cascaded,2027,317.1,323
D0,sys/DC/OO/First Flight,Samsic Assistance Canada Inc.,5.1,sys,DC,OO,,First Flight,Samsic Assistance Canada Inc.,90.35,103,114,94.87,5.00%,0.002711311169022612,108.15,114,Cascaded,2027,108.15,114
D0,sys/DC/OO/First Flight,SkyWest,5.1,sys,DC,OO,,First Flight,SkyWest,92.33,3405,3688,96.94,5.00%,0.08963120903419411,3575.25,3688,Cascaded,2027,3575.2500000000005,3688
D0,sys/DC/OO/First Flight,Unifi,5.1,sys,DC,OO,,First Flight,Unifi,85.82,15936,18569,90.11,5.00%,0.4194898523256732,16732.8,18569,Cascaded,2027,16732.800000000003,18569
D0,sys/DC/OO/Not First Flight,Delta,5.1,sys,DC,OO,,Not First Flight,Delta,75.65,99432,131442,79.43,5.00%,0.6042478198778524,104403.6,131442,Cascaded,2027,104403.6,131442
D0,sys/DC/OO/Not First Flight,GAT,5.1,sys,DC,OO,,Not First Flight,GAT,82.12,753,917,86.22,5.00%,0.004575977636656437,790.65,917,Cascaded,2027,790.65,917
D0,sys/DC/OO/Not First Flight,HHS Aviation,5.1,sys,DC,OO,,Not First Flight,HHS Aviation,66.34,205,309,69.66,5.00%,0.001245784084348698,215.25,309,Cascaded,2027,215.25,309
D0,sys/DC/OO/Not First Flight,Menzies Aviation,5.1,sys,DC,OO,,Not First Flight,Menzies Aviation,78.64,1856,2360,82.58,5.00%,0.011278903710005773,1948.8,2360,Cascaded,2027,1948.8,2360
D0,sys/DC/OO/Not First Flight,Omega Aviation,5.1,sys,DC,OO,,Not First Flight,Omega Aviation,44.44,12,27,46.67,5.00%,7.29239464008994e-05,12.6,27,Cascaded,2027,12.6,27
D0,sys/DC/OO/Not First Flight,PRIMEFLIGHT AVIATION SERVICES CANADA,5.1,sys,DC,OO,,Not First Flight,PRIMEFLIGHT AVIATION SERVICES CANADA,78.86,194,246,82.8,5.00%,0.001178937133481207,203.7,246,Cascaded,2027,203.7,246
D0,sys/DC/OO/Not First Flight,PrimeFlight,5.1,sys,DC,OO,,Not First Flight,PrimeFlight,74.71,523,700,78.45,5.00%,0.003178268663972532,549.15,700,Cascaded,2027,549.15,700
D0,sys/DC/OO/Not First Flight,Samsic Assistance Canada Inc.,5.1,sys,DC,OO,,Not First Flight,Samsic Assistance Canada Inc.,80.7,92,114,84.74,5.00%,0.000559083589073562,96.6,114,Cascaded,2027,96.6,114
D0,sys/DC/OO/Not First Flight,SkyWest,5.1,sys,DC,OO,,Not First Flight,SkyWest,83.1,6570,7906,87.26,5.00%,0.03992586065449242,6898.5,7906,Cascaded,2027,6898.5,7906
D0,sys/DC/OO/Not First Flight,Unifi,5.1,sys,DC,OO,,Not First Flight,Unifi,70.12,54911,78315,73.62,5.00%,0.3336939017349822,57656.55,78315,Cascaded,2027,57656.55,78315
D0,sys/DC/OO/Not First Flight,Valley International Airport Ground Handling Services,5.1,sys,DC,OO,,Not First Flight,Valley International Airport Ground Handling Services,100.0,7,7,105.0,5.00%,4.253896873385798e-05,7.35,7,Cascaded,2027,7.35,7
D0,sys/DC/YX/First Flight,Delta,5.1,sys,DC,YX,,First Flight,Delta,85.87,14921,17376,90.16,5.00%,0.9716090382236113,15667.05,17376,Cascaded,2027,15667.05,17376
D0,sys/DC/YX/First Flight,Unifi,5.1,sys,DC,YX,,First Flight,Unifi,82.42,436,529,86.54,5.00%,0.028390961776388616,457.8,529,Cascaded,2027,457.79999999999995,529
D0,sys/DC/YX/Not First Flight,Delta,5.1,sys,DC,YX,,Not First Flight,Delta,67.83,51568,76029,71.22,5.00%,0.934084445813031,54146.4,76029,Cascaded,2027,54146.4,76029
D0,sys/DC/YX/Not First Flight,Unifi,5.1,sys,DC,YX,,Not First Flight,Unifi,71.44,3639,5094,75.01,5.00%,0.06591555418696904,3820.95,5094,Cascaded,2027,3820.95,5094
D0,sys/DL/DL/First Flight,AHS,5.1,sys,DL,DL,,First Flight,AHS,0.0,0,1,0.0,0.00%,0.0,0.0,1,Cascaded,2027,0.0,1
D0,sys/DL/DL/First Flight,ATA,5.1,sys,DL,DL,,First Flight,ATA,100.0,1,1,105.0,5.00%,5.333760034136064e-06,1.05,1,Cascaded,2027,1.05,1
D0,sys/DL/DL/First Flight,Aero Sphere A.S. Handling,5.1,sys,DL,DL,,First Flight,Aero Sphere A.S. Handling,86.01,123,143,90.31,5.00%,0.0006560524841987359,129.15,143,Cascaded,2027,129.15,143
D0,sys/DL/DL/First Flight,Air France,5.1,sys,DL,DL,,First Flight,Air France,27.03,10,37,28.38,5.00%,5.333760034136064e-05,10.5,37,Cascaded,2027,10.5,37
D0,sys/DL/DL/First Flight,Airport Handling SpA,5.1,sys,DL,DL,,First Flight,Airport Handling SpA,0.0,0,2,0.0,0.00%,0.0,0.0,2,Cascaded,2027,0.0,2
D0,sys/DL/DL/First Flight,Airport Terminal Solutions (ATSG),5.1,sys,DL,DL,,First Flight,Airport Terminal Solutions (ATSG),100.0,1,1,105.0,5.00%,5.333760034136064e-06,1.05,1,Cascaded,2027,1.05,1
D0,sys/DL/DL/First Flight,Aviance,5.1,sys,DL,DL,,First Flight,Aviance,0.0,0,1,0.0,0.00%,0.0,0.0,1,Cascaded,2027,0.0,1
D0,sys/DL/DL/First Flight,BLAS,5.1,sys,DL,DL,,First Flight,BLAS,77.78,35,45,81.67,5.00%,0.00018668160119476225,36.75,45,Cascaded,2027,36.75,45
D0,sys/DL/DL/First Flight,China Airlines,5.1,sys,DL,DL,,First Flight,China Airlines,70.54,249,353,74.07,5.00%,0.00132810624849988,261.45,353,Cascaded,2027,261.45,353
D0,sys/DL/DL/First Flight,China Eastern,5.1,sys,DL,DL,,First Flight,China Eastern,94.92,56,59,99.66,5.00%,0.0002986905619116196,58.8,59,Cascaded,2027,58.8,59
D0,sys/DL/DL/First Flight,Delta,5.1,sys,DL,DL,,First Flight,Delta,80.41,170521,212052,84.44,5.00%,0.9095180947809158,179047.05,212052,Cascaded,2027,179047.05,212052
D0,sys/DL/DL/First Flight,GAT,5.1,sys,DL,DL,,First Flight,GAT,85.85,279,325,90.14,5.00%,0.001488119049523962,292.95,325,Cascaded,2027,292.95,325
D0,sys/DL/DL/First Flight,GH Catania,5.1,sys,DL,DL,,First Flight,GH Catania,100.0,2,2,105.0,5.00%,1.0667520068272128e-05,2.1,2,Cascaded,2027,2.1,2
D0,sys/DL/DL/First Flight,Groundforce,5.1,sys,DL,DL,,First Flight,Groundforce,0.0,0,1,0.0,0.00%,0.0,0.0,1,Cascaded,2027,0.0,1
D0,sys/DL/DL/First Flight,ICTS,5.1,sys,DL,DL,,First Flight,ICTS,0.0,0,1,0.0,0.00%,0.0,0.0,1,Cascaded,2027,0.0,1
D0,sys/DL/DL/First Flight,KLM,5.1,sys,DL,DL,,First Flight,KLM,27.56,78,283,28.94,5.00%,0.000416033282662613,81.9,283,Cascaded,2027,81.9,283
D0,sys/DL/DL/First Flight,Korean Air,5.1,sys,DL,DL,,First Flight,Korean Air,83.1,177,213,87.25,5.00%,0.0009440755260420833,185.85,213,Cascaded,2027,185.85,213
D0,sys/DL/DL/First Flight,Menzies Aviation,5.1,sys,DL,DL,,First Flight,Menzies Aviation,85.59,808,944,89.87,5.00%,0.00430967810758194,848.4,944,Cascaded,2027,848.4,944
D0,sys/DL/DL/First Flight,NAHCo,5.1,sys,DL,DL,,First Flight,NAHCo,0.0,0,1,0.0,0.00%,0.0,0.0,1,Cascaded,2027,0.0,1
D0,sys/DL/DL/First Flight,PRIMEFLIGHT AVIATION SERVICES CANADA,5.1,sys,DL,DL,,First Flight,PRIMEFLIGHT AVIATION SERVICES CANADA,77.55,190,245,81.43,5.00%,0.0010134144064858522,199.5,245,Cascaded,2027,199.5,245
D0,sys/DL/DL/First Flight,QAS,5.1,sys,DL,DL,,First Flight,QAS,100.0,1,1,105.0,5.00%,5.333760034136064e-06,1.05,1,Cascaded,2027,1.05,1
D0,sys/DL/DL/First Flight,RAM Handling,5.1,sys,DL,DL,,First Flight,RAM Handling,0.0,0,1,0.0,0.00%,0.0,0.0,1,Cascaded,2027,0.0,1
D0,sys/DL/DL/First Flight,SAI,5.1,sys,DL,DL,,First Flight,SAI,77.18,274,355,81.04,5.00%,0.0014614502493532815,287.7,355,Cascaded,2027,287.7,355
D0,sys/DL/DL/First Flight,SERVAIR,5.1,sys,DL,DL,,First Flight,SERVAIR,81.66,414,507,85.74,5.00%,0.0022081766541323304,434.7,507,Cascaded,2027,434.7,507
D0,sys/DL/DL/First Flight,SHP,5.1,sys,DL,DL,,First Flight,SHP,66.67,2,3,70.0,5.00%,1.0667520068272128e-05,2.1,3,Cascaded,2027,2.1,3
D0,sys/DL/DL/First Flight,Samsic Assistance Canada Inc.,5.1,sys,DL,DL,,First Flight,Samsic Assistance Canada Inc.,72.57,82,113,76.19,5.00%,0.00043736832279915724,86.1,113,Cascaded,2027,86.1,113
D0,sys/DL/DL/First Flight,SkyWest,5.1,sys,DL,DL,,First Flight,SkyWest,76.22,234,307,80.03,5.00%,0.001248099847987839,245.7,307,Cascaded,2027,245.7,307
D0,sys/DL/DL/First Flight,Swissport,5.1,sys,DL,DL,,First Flight,Swissport,0.0,0,2,0.0,0.00%,0.0,0.0,2,Cascaded,2027,0.0,2
D0,sys/DL/DL/First Flight,Unifi,5.1,sys,DL,DL,,First Flight,Unifi,80.57,13945,17309,84.59,5.00%,0.07437928367602742,14642.25,17309,Cascaded,2027,14642.25,17309
D0,sys/DL/DL/First Flight,Virgin Atlantic Airways,5.1,sys,DL,DL,,First Flight,Virgin Atlantic Airways,66.67,2,3,70.0,5.00%,1.0667520068272128e-05,2.1,3,Cascaded,2027,2.1,3
D0,sys/DL/DL/First Flight,WISAG Aviation,5.1,sys,DL,DL,,First Flight,WISAG Aviation,50.0,1,2,52.5,5.00%,5.333760034136064e-06,1.05,2,Cascaded,2027,1.05,2
D0,sys/DL/DL/Not First Flight,2AS,5.1,sys,DL,DL,,Not First Flight,2AS,56.04,102,182,58.85,5.00%,0.00017510879921716065,107.1,182,Cascaded,2027,107.1,182
D0,sys/DL/DL/Not First Flight,AHS,5.1,sys,DL,DL,,Not First Flight,AHS,66.99,615,918,70.34,5.00%,0.0010558030541034688,645.75,918,Cascaded,2027,645.75,918
D0,sys/DL/DL/Not First Flight,ARRINDELL AVIATION SERVICES,5.1,sys,DL,DL,,Not First Flight,ARRINDELL AVIATION SERVICES,52.64,279,530,55.27,5.00%,0.0004789740684469395,292.95,530,Cascaded,2027,292.95,530
D0,sys/DL/DL/Not First Flight,ATA,5.1,sys,DL,DL,,Not First Flight,ATA,69.96,375,536,73.46,5.00%,0.0006437823500630907,393.75,536,Cascaded,2027,393.75,536
D0,sys/DL/DL/Not First Flight,"AVEESPRESS, S.A. DE C.V.",5.1,sys,DL,DL,,Not First Flight,"AVEESPRESS, S.A. DE C.V.",78.57,11,14,82.5,5.00%,1.8884282268517327e-05,11.55,14,Cascaded,2027,11.55,14
D0,sys/DL/DL/Not First Flight,Aero Sphere A.S. Handling,5.1,sys,DL,DL,,Not First Flight,Aero Sphere A.S. Handling,59.32,261,440,62.28,5.00%,0.00044807251564391113,274.05,440,Cascaded,2027,274.05,440
D0,sys/DL/DL/Not First Flight,AeroDispatch,5.1,sys,DL,DL,,Not First Flight,AeroDispatch,78.91,318,403,82.85,5.00%,0.0005459274328535009,333.9,403,Cascaded,2027,333.9,403
D0,sys/DL/DL/Not First Flight,Air France,5.1,sys,DL,DL,,Not First Flight,Air France,38.01,1506,3962,39.91,5.00%,0.002585429917853372,1581.3,3962,Cascaded,2027,1581.3,3962
D0,sys/DL/DL/Not First Flight,Air Handling Services Bonaire NV,5.1,sys,DL,DL,,Not First Flight,Air Handling Services Bonaire NV,52.78,38,72,55.42,5.00%,6.523661147305986e-05,39.9,72,Cascaded,2027,39.9,72
D0,sys/DL/DL/Not First Flight,Air Support,5.1,sys,DL,DL,,Not First Flight,Air Support,69.53,251,361,73.01,5.00%,0.00043090498630889536,263.55,361,Cascaded,2027,263.55,361
D0,sys/DL/DL/Not First Flight,Air Tahiti,5.1,sys,DL,DL,,Not First Flight,Air Tahiti,66.67,2,3,70.0,5.00%,3.43350586700315e-06,2.1,3,Cascaded,2027,2.1,3
D0,sys/DL/DL/Not First Flight,Airport Associates,5.1,sys,DL,DL,,Not First Flight,Airport Associates,63.55,272,428,66.73,5.00%,0.00046695679791242844,285.6,428,Cascaded,2027,285.6,428
D0,sys/DL/DL/Not First Flight,Airport Handling SpA,5.1,sys,DL,DL,,Not First Flight,Airport Handling SpA,52.5,473,901,55.12,5.00%,0.0008120241375462451,496.65,901,Cascaded,2027,496.65,901
D0,sys/DL/DL/Not First Flight,Airport Terminal Solutions (ATSG),5.1,sys,DL,DL,,Not First Flight,Airport Terminal Solutions (ATSG),62.04,317,511,65.14,5.00%,0.0005442106799199994,332.85,511,Cascaded,2027,332.85,511
D0,sys/DL/DL/Not First Flight,Alyzia,5.1,sys,DL,DL,,Not First Flight,Alyzia,50.85,119,234,53.4,5.00%,0.00020429359908668743,124.95,234,Cascaded,2027,124.95,234
D0,sys/DL/DL/Not First Flight,Antillean Flight Services NV,5.1,sys,DL,DL,,Not First Flight,Antillean Flight Services NV,68.84,137,199,72.29,5.00%,0.00023519515188971578,143.85,199,Cascaded,2027,143.85,199
D0,sys/DL/DL/Not First Flight,AviaPartner,5.1,sys,DL,DL,,Not First Flight,AviaPartner,56.25,198,352,59.06,5.00%,0.00033991708083331185,207.9,352,Cascaded,2027,207.9,352
D0,sys/DL/DL/Not First Flight,Aviance,5.1,sys,DL,DL,,Not First Flight,Aviance,52.35,212,405,54.96,5.00%,0.00036395162190233394,222.6,405,Cascaded,2027,222.6,405
D0,sys/DL/DL/Not First Flight,Aviation Services,5.1,sys,DL,DL,,Not First Flight,Aviation Services,68.32,69,101,71.73,5.00%,0.00011845595241160869,72.45,101,Cascaded,2027,72.45,101
D0,sys/DL/DL/Not First Flight,BLAS,5.1,sys,DL,DL,,Not First Flight,BLAS,75.41,273,362,79.19,5.00%,0.00046867355084593003,286.65,362,Cascaded,2027,286.65,362
D0,sys/DL/DL/Not First Flight,Caribbean Aircraft Handling,5.1,sys,DL,DL,,Not First Flight,Caribbean Aircraft Handling,71.04,211,297,74.6,5.00%,0.00036223486896883234,221.55,297,Cascaded,2027,221.55,297
D0,sys/DL/DL/Not First Flight,Caribbean Dispatch,5.1,sys,DL,DL,,Not First Flight,Caribbean Dispatch,73.28,266,363,76.94,5.00%,0.000456656280311419,279.3,363,Cascaded,2027,279.3,363
D0,sys/DL/DL/Not First Flight,China Airlines,5.1,sys,DL,DL,,Not First Flight,China Airlines,0.0,0,7,0.0,0.00%,0.0,0.0,7,Cascaded,2027,0.0,7
D0,sys/DL/DL/Not First Flight,China Eastern,5.1,sys,DL,DL,,Not First Flight,China Eastern,67.82,548,808,71.21,5.00%,0.0009407806075588631,575.4,808,Cascaded,2027,575.4,808
D0,sys/DL/DL/Not First Flight,Colossal,5.1,sys,DL,DL,,Not First Flight,Colossal,58.51,299,511,61.44,5.00%,0.0005133091271169709,313.95,511,Cascaded,2027,313.95,511
D0,sys/DL/DL/Not First Flight,CrossRacer,5.1,sys,DL,DL,,Not First Flight,CrossRacer,57.49,334,581,60.36,5.00%,0.0005733954797895261,350.7,581,Cascaded,2027,350.7,581
D0,sys/DL/DL/Not First Flight,Delta,5.1,sys,DL,DL,,Not First Flight,Delta,62.89,532328,846406,66.04,5.00%,0.9138756555850265,558944.4,846406,Cascaded,2027,558944.4,846406
D0,sys/DL/DL/Not First Flight,Dispatch Services Antigua,5.1,sys,DL,DL,,Not First Flight,Dispatch Services Antigua,43.9,36,82,46.1,5.00%,6.18031056060567e-05,37.8,82,Cascaded,2027,37.8,82
D0,sys/DL/DL/Not First Flight,ECASA,5.1,sys,DL,DL,,Not First Flight,ECASA,77.02,409,531,80.88,5.00%,0.0007021519498021442,429.45,531,Cascaded,2027,429.45,531
D0,sys/DL/DL/Not First Flight,FADS,5.1,sys,DL,DL,,Not First Flight,FADS,83.41,367,440,87.58,5.00%,0.000630048326595078,385.35,440,Cascaded,2027,385.35,440
D0,sys/DL/DL/Not First Flight,FlightSupport,5.1,sys,DL,DL,,Not First Flight,FlightSupport,84.29,633,751,88.5,5.00%,0.001086704606906497,664.65,751,Cascaded,2027,664.65,751
D0,sys/DL/DL/Not First Flight,GAT,5.1,sys,DL,DL,,Not First Flight,GAT,54.46,226,415,57.18,5.00%,0.00038798616297135597,237.3,415,Cascaded,2027,237.3,415
D0,sys/DL/DL/Not First Flight,GCG GROUND SERVICES LLC,5.1,sys,DL,DL,,Not First Flight,GCG GROUND SERVICES LLC,64.03,673,1051,67.24,5.00%,0.00115537472424656,706.65,1051,Cascaded,2027,706.65,1051
D0,sys/DL/DL/Not First Flight,GH Catania,5.1,sys,DL,DL,,Not First Flight,GH Catania,64.4,123,191,67.62,5.00%,0.00021116061082069375,129.15,191,Cascaded,2027,129.15,191
D0,sys/DL/DL/Not First Flight,GH Napoli,5.1,sys,DL,DL,,Not First Flight,GH Napoli,65.88,195,296,69.17,5.00%,0.0003347668220328071,204.75,296,Cascaded,2027,204.75,296
