KPI_Name,parent,node,Tier,sys,ml_dc_1,ml_dc_2,dom_int,station,fleet,Baseline,Baseline_Num,Baseline_Den,Goal,Stretch,Contribution,Goal_Num,Goal_Den,Source,Goal_Yr,YTD_Num,YTD_Den
D0,sys/DL,763,3.1,sys,DL,,,,763,64.75,16451,25405,67.99,5.00%,0.021365490012727605,17273.55,25405,Cascaded,2027,17273.55,25405
D0,sys/DL,764,3.1,sys,DL,,,,764,59.35,7120,11996,62.32,5.00%,0.009246993428400737,7476.0,11996,Cascaded,2027,7476.0,11996
D0,sys/DC/9E,D,4.0,sys,DC,9E,D,,,68.13,163575,240084,71.54,5.00%,0.9407782736725867,171753.75,240084,Cascaded,2027,171753.75,240084
D0,sys/DC/9E,I,4.0,sys,DC,9E,I,,,69.48,10297,14820,72.95,5.00%,0.05922172632741327,10811.85,14820,Cascaded,2027,10811.85,14820
D0,sys/DC/OO,D,4.0,sys,DC,OO,D,,,76.19,193773,254344,79.99,5.00%,0.9566958290544276,203461.65,254344,Cascaded,2027,203461.65000000002,254344
D0,sys/DC/OO,I,4.0,sys,DC,OO,I,,,76.62,8771,11447,80.45,5.00%,0.04330417094557232,9209.55,11447,Cascaded,2027,9209.550000000001,11447
D0,sys/DC/YX,D,4.0,sys,DC,YX,D,,,71.26,70564,99028,74.82,5.00%,1.0,74092.2,99028,Cascaded,2027,74092.2,99028
D0,sys/DL/DL,D,4.0,sys,DL,DL,D,,,66.78,679797,1017970,70.12,5.00%,0.8828761786020416,713786.85,1017970,Cascaded,2027,713786.85,1017970
D0,sys/DL/DL,I,4.0,sys,DL,DL,I,,,62.47,90183,144357,65.6,5.00%,0.11712382139795839,94692.15,144357,Cascaded,2027,94692.15,144357
D0,sys/DC/CRJ-700,ABE,4.1,sys,DC,,,ABE,CRJ-700,83.25,159,191,87.41,5.00%,0.005286958834873978,166.95,191,Cascaded,2027,166.95000000000002,191
D0,sys/DC/CRJ-700,ABY,4.1,sys,DC,,,ABY,CRJ-700,78.86,414,525,82.8,5.00%,0.01376604375872847,434.7,525,Cascaded,2027,434.7,525
D0,sys/DC/CRJ-700,AEX,4.1,sys,DC,,,AEX,CRJ-700,77.9,571,733,81.79,5.00%,0.018986499966748685,599.55,733,Cascaded,2027,599.55,733
D0,sys/DC/CRJ-700,AGS,4.1,sys,DC,,,AGS,CRJ-700,70.04,332,474,73.54,5.00%,0.01103943605772428,348.6,474,Cascaded,2027,348.6,474
D0,sys/DC/CRJ-700,ALB,4.1,sys,DC,,,ALB,CRJ-700,73.33,55,75,77.0,5.00%,0.0018288222384784199,57.75,75,Cascaded,2027,57.75,75
D0,sys/DC/CRJ-700,ASE,4.1,sys,DC,,,ASE,CRJ-700,59.87,185,309,62.86,5.00%,0.006151492983972867,194.25,309,Cascaded,2027,194.25,309
D0,sys/DC/CRJ-700,ATL,4.1,sys,DC,,,ATL,CRJ-700,67.99,8733,12845,71.39,5.00%,0.2903837201569462,9169.65,12845,Cascaded,2027,9169.65,12845
D0,sys/DC/CRJ-700,AVL,4.1,sys,DC,,,AVL,CRJ-700,72.62,61,84,76.25,5.00%,0.002028330119039702,64.05,84,Cascaded,2027,64.05,84
D0,sys/DC/CRJ-700,AZO,4.1,sys,DC,,,AZO,CRJ-700,63.27,124,196,66.43,5.00%,0.004123162864933165,130.2,196,Cascaded,2027,130.2,196
D0,sys/DC/CRJ-700,BGM,4.1,sys,DC,,,BGM,CRJ-700,60.81,45,74,63.85,5.00%,0.0014963091042096163,47.25,74,Cascaded,2027,47.25,74
D0,sys/DC/CRJ-700,BHM,4.1,sys,DC,,,BHM,CRJ-700,67.95,53,78,71.35,5.00%,0.0017623196116246592,55.65,78,Cascaded,2027,55.65,78
D0,sys/DC/CRJ-700,BIS,4.1,sys,DC,,,BIS,CRJ-700,73.91,17,23,77.61,5.00%,0.0005652723282569661,17.85,23,Cascaded,2027,17.85,23
D0,sys/DC/CRJ-700,BMI,4.1,sys,DC,,,BMI,CRJ-700,71.83,51,71,75.42,5.00%,0.0016958169847708985,53.55,71,Cascaded,2027,53.550000000000004,71
D0,sys/DC/CRJ-700,BNA,4.1,sys,DC,,,BNA,CRJ-700,100.0,1,1,105.0,5.00%,3.325131342688036e-05,1.05,1,Cascaded,2027,1.05,1
D0,sys/DC/CRJ-700,BQK,4.1,sys,DC,,,BQK,CRJ-700,76.01,583,767,79.81,5.00%,0.019385515727871252,612.15,767,Cascaded,2027,612.15,767
D0,sys/DC/CRJ-700,BTR,4.1,sys,DC,,,BTR,CRJ-700,47.75,53,111,50.14,5.00%,0.0017623196116246592,55.65,111,Cascaded,2027,55.65,111
D0,sys/DC/CRJ-700,BTV,4.1,sys,DC,,,BTV,CRJ-700,71.43,25,35,75.0,5.00%,0.000831282835672009,26.25,35,Cascaded,2027,26.25,35
D0,sys/DC/CRJ-700,BUF,4.1,sys,DC,,,BUF,CRJ-700,47.11,57,121,49.46,5.00%,0.0018953248653321806,59.85,121,Cascaded,2027,59.85,121
D0,sys/DC/CRJ-700,CAE,4.1,sys,DC,,,CAE,CRJ-700,60.89,109,179,63.94,5.00%,0.0036243931635299596,114.45,179,Cascaded,2027,114.45,179
D0,sys/DC/CRJ-700,CHA,4.1,sys,DC,,,CHA,CRJ-700,64.72,776,1199,67.96,5.00%,0.02580301921925916,814.8,1199,Cascaded,2027,814.8000000000001,1199
D0,sys/DC/CRJ-700,CHO,4.1,sys,DC,,,CHO,CRJ-700,67.39,186,276,70.76,5.00%,0.006184744297399747,195.3,276,Cascaded,2027,195.3,276
D0,sys/DC/CRJ-700,CHS,4.1,sys,DC,,,CHS,CRJ-700,60.53,23,38,63.55,5.00%,0.0007647802088182483,24.15,38,Cascaded,2027,24.150000000000002,38
D0,sys/DC/CRJ-700,CID,4.1,sys,DC,,,CID,CRJ-700,58.33,42,72,61.25,5.00%,0.0013965551639289753,44.1,72,Cascaded,2027,44.1,72
D0,sys/DC/CRJ-700,CLE,4.1,sys,DC,,,CLE,CRJ-700,62.22,168,270,65.33,5.00%,0.005586220655715901,176.4,270,Cascaded,2027,176.4,270
D0,sys/DC/CRJ-700,CLT,4.1,sys,DC,,,CLT,CRJ-700,48.28,28,58,50.69,5.00%,0.0009310367759526501,29.4,58,Cascaded,2027,29.400000000000002,58
D0,sys/DC/CRJ-700,CMH,4.1,sys,DC,,,CMH,CRJ-700,70.6,269,381,74.13,5.00%,0.008944603311830817,282.45,381,Cascaded,2027,282.45,381
D0,sys/DC/CRJ-700,CRW,4.1,sys,DC,,,CRW,CRJ-700,72.45,476,657,76.07,5.00%,0.01582762519119505,499.8,657,Cascaded,2027,499.8,657
D0,sys/DC/CRJ-700,CSG,4.1,sys,DC,,,CSG,CRJ-700,65.33,245,375,68.6,5.00%,0.008146571789585689,257.25,375,Cascaded,2027,257.25,375
D0,sys/DC/CRJ-700,CVG,4.1,sys,DC,,,CVG,CRJ-700,45.78,38,83,48.07,5.00%,0.0012635499102214536,39.9,83,Cascaded,2027,39.9,83
D0,sys/DC/CRJ-700,CWA,4.1,sys,DC,,,CWA,CRJ-700,70.83,17,24,74.38,5.00%,0.0005652723282569661,17.85,24,Cascaded,2027,17.85,24
D0,sys/DC/CRJ-700,DHN,4.1,sys,DC,,,DHN,CRJ-700,75.85,490,646,79.64,5.00%,0.016293143579171377,514.5,646,Cascaded,2027,514.5,646
D0,sys/DC/CRJ-700,DLH,4.1,sys,DC,,,DLH,CRJ-700,100.0,1,1,105.0,5.00%,3.325131342688036e-05,1.05,1,Cascaded,2027,1.05,1
D0,sys/DC/CRJ-700,DSM,4.1,sys,DC,,,DSM,CRJ-700,83.33,65,78,87.5,5.00%,0.0021613353727472236,68.25,78,Cascaded,2027,68.25,78
D0,sys/DC/CRJ-700,DTW,4.1,sys,DC,,,DTW,CRJ-700,63.81,5334,8359,67.0,5.00%,0.17736250581897986,5600.7,8359,Cascaded,2027,5600.7,8359
D0,sys/DC/CRJ-700,ELH,4.1,sys,DC,,,ELH,CRJ-700,61.62,122,198,64.7,5.00%,0.004056660238079404,128.1,198,Cascaded,2027,128.1,198
D0,sys/DC/CRJ-700,ELM,4.1,sys,DC,,,ELM,CRJ-700,73.74,73,99,77.42,5.00%,0.0024273458801622664,76.65,99,Cascaded,2027,76.65,99
D0,sys/DC/CRJ-700,EVV,4.1,sys,DC,,,EVV,CRJ-700,80.32,298,371,84.34,5.00%,0.009908891401210347,312.9,371,Cascaded,2027,312.90000000000003,371
D0,sys/DC/CRJ-700,EYW,4.1,sys,DC,,,EYW,CRJ-700,18.75,3,16,19.69,5.00%,9.975394028064109e-05,3.15,16,Cascaded,2027,3.15,16
D0,sys/DC/CRJ-700,FAY,4.1,sys,DC,,,FAY,CRJ-700,69.01,236,342,72.46,5.00%,0.007847309968743766,247.8,342,Cascaded,2027,247.8,342
D0,sys/DC/CRJ-700,FWA,4.1,sys,DC,,,FWA,CRJ-700,81.82,45,55,85.91,5.00%,0.0014963091042096163,47.25,55,Cascaded,2027,47.25,55
D0,sys/DC/CRJ-700,GGT,4.1,sys,DC,,,GGT,CRJ-700,74.7,62,83,78.43,5.00%,0.0020615814324665823,65.1,83,Cascaded,2027,65.1,83
D0,sys/DC/CRJ-700,GNV,4.1,sys,DC,,,GNV,CRJ-700,81.25,13,16,85.31,5.00%,0.0004322670745494447,13.65,16,Cascaded,2027,13.65,16
D0,sys/DC/CRJ-700,GPT,4.1,sys,DC,,,GPT,CRJ-700,25.0,1,4,26.25,5.00%,3.325131342688036e-05,1.05,4,Cascaded,2027,1.05,4
D0,sys/DC/CRJ-700,GRB,4.1,sys,DC,,,GRB,CRJ-700,78.64,162,206,82.57,5.00%,0.0053867127751546185,170.1,206,Cascaded,2027,170.1,206
D0,sys/DC/CRJ-700,GRR,4.1,sys,DC,,,GRR,CRJ-700,67.69,419,619,71.07,5.00%,0.013932300325862871,439.95,619,Cascaded,2027,439.95,619
D0,sys/DC/CRJ-700,GSO,4.1,sys,DC,,,GSO,CRJ-700,70.09,75,107,73.6,5.00%,0.002493848507016027,78.75,107,Cascaded,2027,78.75,107
D0,sys/DC/CRJ-700,GSP,4.1,sys,DC,,,GSP,CRJ-700,56.04,51,91,58.85,5.00%,0.0016958169847708985,53.55,91,Cascaded,2027,53.550000000000004,91
D0,sys/DC/CRJ-700,GTR,4.1,sys,DC,,,GTR,CRJ-700,71.18,121,170,74.74,5.00%,0.004023408924652524,127.05,170,Cascaded,2027,127.05,170
D0,sys/DC/CRJ-700,HPN,4.1,sys,DC,,,HPN,CRJ-700,58.82,10,17,61.76,5.00%,0.00033251313426880364,10.5,17,Cascaded,2027,10.5,17
D0,sys/DC/CRJ-700,HSV,4.1,sys,DC,,,HSV,CRJ-700,61.9,104,168,65.0,5.00%,0.0034581365963955576,109.2,168,Cascaded,2027,109.2,168
D0,sys/DC/CRJ-700,IAD,4.1,sys,DC,,,IAD,CRJ-700,61.36,27,44,64.43,5.00%,0.0008977854625257698,28.35,44,Cascaded,2027,28.35,44
D0,sys/DC/CRJ-700,ILM,4.1,sys,DC,,,ILM,CRJ-700,70.0,7,10,73.5,5.00%,0.00023275919398816253,7.35,10,Cascaded,2027,7.3500000000000005,10
D0,sys/DC/CRJ-700,IND,4.1,sys,DC,,,IND,CRJ-700,69.66,163,234,73.14,5.00%,0.005419964088581499,171.15,234,Cascaded,2027,171.15,234
D0,sys/DC/CRJ-700,JAN,4.1,sys,DC,,,JAN,CRJ-700,67.82,59,87,71.21,5.00%,0.0019618274921859415,61.95,87,Cascaded,2027,61.95,87
D0,sys/DC/CRJ-700,LAN,4.1,sys,DC,,,LAN,CRJ-700,62.63,62,99,65.76,5.00%,0.0020615814324665823,65.1,99,Cascaded,2027,65.1,99
D0,sys/DC/CRJ-700,LAX,4.1,sys,DC,,,LAX,CRJ-700,70.03,409,584,73.54,5.00%,0.013599787191594067,429.45,584,Cascaded,2027,429.45,584
D0,sys/DC/CRJ-700,LEX,4.1,sys,DC,,,LEX,CRJ-700,63.11,130,206,66.26,5.00%,0.004322670745494447,136.5,206,Cascaded,2027,136.5,206
D0,sys/DC/CRJ-700,LFT,4.1,sys,DC,,,LFT,CRJ-700,75.59,223,295,79.37,5.00%,0.00741504289419432,234.15,295,Cascaded,2027,234.15,295
D0,sys/DC/CRJ-700,MBS,4.1,sys,DC,,,MBS,CRJ-700,71.26,243,341,74.82,5.00%,0.008080069162731927,255.15,341,Cascaded,2027,255.15,341
D0,sys/DC/CRJ-700,MCI,4.1,sys,DC,,,MCI,CRJ-700,45.45,10,22,47.73,5.00%,0.00033251313426880364,10.5,22,Cascaded,2027,10.5,22
D0,sys/DC/CRJ-700,MDT,4.1,sys,DC,,,MDT,CRJ-700,72.36,398,550,75.98,5.00%,0.013234022743898384,417.9,550,Cascaded,2027,417.90000000000003,550
D0,sys/DC/CRJ-700,MDW,4.1,sys,DC,,,MDW,CRJ-700,60.38,477,790,63.4,5.00%,0.015860876504621934,500.85,790,Cascaded,2027,500.85,790
D0,sys/DC/CRJ-700,MEM,4.1,sys,DC,,,MEM,CRJ-700,42.86,9,21,45.0,5.00%,0.00029926182084192323,9.45,21,Cascaded,2027,9.45,21
D0,sys/DC/CRJ-700,MGM,4.1,sys,DC,,,MGM,CRJ-700,69.75,648,929,73.24,5.00%,0.021546851100618474,680.4,929,Cascaded,2027,680.4,929
D0,sys/DC/CRJ-700,MHH,4.1,sys,DC,,,MHH,CRJ-700,64.52,120,186,67.74,5.00%,0.003990157611225643,126.0,186,Cascaded,2027,126.0,186
D0,sys/DC/CRJ-700,MKE,4.1,sys,DC,,,MKE,CRJ-700,58.02,47,81,60.93,5.00%,0.001562811731063377,49.35,81,Cascaded,2027,49.35,81
D0,sys/DC/CRJ-700,MLI,4.1,sys,DC,,,MLI,CRJ-700,81.25,91,112,85.31,5.00%,0.003025869521846113,95.55,112,Cascaded,2027,95.55,112
D0,sys/DC/CRJ-700,MLU,4.1,sys,DC,,,MLU,CRJ-700,70.68,434,614,74.22,5.00%,0.014431070027266077,455.7,614,Cascaded,2027,455.7,614
D0,sys/DC/CRJ-700,MOB,4.1,sys,DC,,,MOB,CRJ-700,80.42,152,189,84.44,5.00%,0.005054199640885815,159.6,189,Cascaded,2027,159.6,189
D0,sys/DC/CRJ-700,MSN,4.1,sys,DC,,,MSN,CRJ-700,67.56,177,262,70.94,5.00%,0.005885482476557824,185.85,262,Cascaded,2027,185.85,262
D0,sys/DC/CRJ-700,MSP,4.1,sys,DC,,,MSP,CRJ-700,58.07,241,415,60.98,5.00%,0.008013566535878168,253.05,415,Cascaded,2027,253.05,415
D0,sys/DC/CRJ-700,OAJ,4.1,sys,DC,,,OAJ,CRJ-700,60.0,60,100,63.0,5.00%,0.0019950788056128216,63.0,100,Cascaded,2027,63.0,100
D0,sys/DC/CRJ-700,OKC,4.1,sys,DC,,,OKC,CRJ-700,73.68,14,19,77.37,5.00%,0.00046551838797632506,14.7,19,Cascaded,2027,14.700000000000001,19
D0,sys/DC/CRJ-700,ORD,4.1,sys,DC,,,ORD,CRJ-700,22.73,10,44,23.86,5.00%,0.00033251313426880364,10.5,44,Cascaded,2027,10.5,44
D0,sys/DC/CRJ-700,ORF,4.1,sys,DC,,,ORF,CRJ-700,56.62,77,136,59.45,5.00%,0.002560351133869788,80.85,136,Cascaded,2027,80.85000000000001,136
D0,sys/DC/CRJ-700,PIT,4.1,sys,DC,,,PIT,CRJ-700,54.18,136,251,56.89,5.00%,0.004522178626055729,142.8,251,Cascaded,2027,142.8,251
D0,sys/DC/CRJ-700,PVD,4.1,sys,DC,,,PVD,CRJ-700,61.86,60,97,64.95,5.00%,0.0019950788056128216,63.0,97,Cascaded,2027,63.0,97
D0,sys/DC/CRJ-700,PWM,4.1,sys,DC,,,PWM,CRJ-700,40.0,2,5,42.0,5.00%,6.650262685376072e-05,2.1,5,Cascaded,2027,2.1,5
D0,sys/DC/CRJ-700,RDU,4.1,sys,DC,,,RDU,CRJ-700,70.0,7,10,73.5,5.00%,0.00023275919398816253,7.35,10,Cascaded,2027,7.3500000000000005,10
D0,sys/DC/CRJ-700,RIC,4.1,sys,DC,,,RIC,CRJ-700,62.5,25,40,65.62,5.00%,0.000831282835672009,26.25,40,Cascaded,2027,26.25,40
D0,sys/DC/CRJ-700,ROA,4.1,sys,DC,,,ROA,CRJ-700,63.02,317,503,66.17,5.00%,0.010540666356321074,332.85,503,Cascaded,2027,332.85,503
D0,sys/DC/CRJ-700,ROC,4.1,sys,DC,,,ROC,CRJ-700,64.52,60,93,67.74,5.00%,0.0019950788056128216,63.0,93,Cascaded,2027,63.0,93
D0,sys/DC/CRJ-700,SAN,4.1,sys,DC,,,SAN,CRJ-700,75.0,3,4,78.75,5.00%,9.975394028064109e-05,3.15,4,Cascaded,2027,3.15,4
D0,sys/DC/CRJ-700,SAV,4.1,sys,DC,,,SAV,CRJ-700,20.0,1,5,21.0,5.00%,3.325131342688036e-05,1.05,5,Cascaded,2027,1.05,5
D0,sys/DC/CRJ-700,SBN,4.1,sys,DC,,,SBN,CRJ-700,67.57,75,111,70.95,5.00%,0.002493848507016027,78.75,111,Cascaded,2027,78.75,111
D0,sys/DC/CRJ-700,SDF,4.1,sys,DC,,,SDF,CRJ-700,60.58,83,137,63.61,5.00%,0.00275985901443107,87.15,137,Cascaded,2027,87.15,137
D0,sys/DC/CRJ-700,SGF,4.1,sys,DC,,,SGF,CRJ-700,71.65,230,321,75.23,5.00%,0.0076478020881824834,241.5,321,Cascaded,2027,241.5,321
D0,sys/DC/CRJ-700,SHV,4.1,sys,DC,,,SHV,CRJ-700,80.95,34,42,85.0,5.00%,0.0011305446565139322,35.7,42,Cascaded,2027,35.7,42
D0,sys/DC/CRJ-700,STL,4.1,sys,DC,,,STL,CRJ-700,80.0,8,10,84.0,5.00%,0.0002660105074150429,8.4,10,Cascaded,2027,8.4,10
D0,sys/DC/CRJ-700,SYR,4.1,sys,DC,,,SYR,CRJ-700,67.02,189,282,70.37,5.00%,0.006284498237680389,198.45,282,Cascaded,2027,198.45000000000002,282
D0,sys/DC/CRJ-700,TLH,4.1,sys,DC,,,TLH,CRJ-700,55.56,5,9,58.33,5.00%,0.00016625656713440182,5.25,9,Cascaded,2027,5.25,9
D0,sys/DC/CRJ-700,TRI,4.1,sys,DC,,,TRI,CRJ-700,72.49,382,527,76.11,5.00%,0.012702001729068298,401.1,527,Cascaded,2027,401.1,527
D0,sys/DC/CRJ-700,TUL,4.1,sys,DC,,,TUL,CRJ-700,0.0,0,1,0.0,0.00%,0.0,0.0,1,Cascaded,2027,0.0,1
D0,sys/DC/CRJ-700,TUS,4.1,sys,DC,,,TUS,CRJ-700,79.86,337,422,83.85,5.00%,0.011205692624858682,353.85,422,Cascaded,2027,353.85,422
D0,sys/DC/CRJ-700,TVC,4.1,sys,DC,,,TVC,CRJ-700,59.18,58,98,62.14,5.00%,0.001928576178759061,60.9,98,Cascaded,2027,60.9,98
D0,sys/DC/CRJ-700,TYS,4.1,sys,DC,,,TYS,CRJ-700,77.39,356,460,81.26,5.00%,0.011837467579969408,373.8,460,Cascaded,2027,373.8,460
D0,sys/DC/CRJ-700,VLD,4.1,sys,DC,,,VLD,CRJ-700,73.0,611,837,76.65,5.00%,0.0203165525038239,641.55,837,Cascaded,2027,641.5500000000001,837
D0,sys/DC/CRJ-700,XNA,4.1,sys,DC,,,XNA,CRJ-700,62.87,569,905,66.02,5.00%,0.018919997339894926,597.45,905,Cascaded,2027,597.45,905
D0,sys/DC/CRJ-700,YUL,4.1,sys,DC,,,YUL,CRJ-700,71.79,252,351,75.38,5.00%,0.008379330983573852,264.6,351,Cascaded,2027,264.6,351
D0,sys/DC/CRJ-700,YYZ,4.1,sys,DC,,,YYZ,CRJ-700,72.32,405,560,75.94,5.00%,0.013466781937886547,425.25,560,Cascaded,2027,425.25,560
D0,sys/DC/CRJ-900,ABE,4.1,sys,DC,,,ABE,CRJ-900,63.86,539,844,67.06,5.00%,0.0025269691841030666,565.95,844,Cascaded,2027,565.95,844
D0,sys/DC/CRJ-900,ABR,4.1,sys,DC,,,ABR,CRJ-900,85.0,629,740,89.25,5.00%,0.002948912090539571,660.45,740,Cascaded,2027,660.45,740
D0,sys/DC/CRJ-900,ABY,4.1,sys,DC,,,ABY,CRJ-900,72.6,355,489,76.23,5.00%,0.0016643303531662127,372.75,489,Cascaded,2027,372.75,489
D0,sys/DC/CRJ-900,AEX,4.1,sys,DC,,,AEX,CRJ-900,63.42,189,298,66.59,5.00%,0.0008860801035166597,198.45,298,Cascaded,2027,198.45000000000002,298
D0,sys/DC/CRJ-900,AGS,4.1,sys,DC,,,AGS,CRJ-900,69.93,1037,1483,73.42,5.00%,0.004861719933051726,1088.85,1483,Cascaded,2027,1088.8500000000001,1483
D0,sys/DC/CRJ-900,ALB,4.1,sys,DC,,,ALB,CRJ-900,76.03,1148,1510,79.83,5.00%,0.005382116184323414,1205.4,1510,Cascaded,2027,1205.4,1510
D0,sys/DC/CRJ-900,APN,4.1,sys,DC,,,APN,CRJ-900,77.31,460,595,81.18,5.00%,0.0021565970773421345,483.0,595,Cascaded,2027,483.0,595
D0,sys/DC/CRJ-900,ATL,4.1,sys,DC,,,ATL,CRJ-900,66.43,16469,24791,69.75,5.00%,0.07721086362336438,17292.45,24791,Cascaded,2027,17292.45,24791
D0,sys/DC/CRJ-900,ATW,4.1,sys,DC,,,ATW,CRJ-900,70.26,1413,2011,73.78,5.00%,0.006624503631053122,1483.65,2011,Cascaded,2027,1483.65,2011
D0,sys/DC/CRJ-900,AUS,4.1,sys,DC,,,AUS,CRJ-900,69.19,732,1058,72.65,5.00%,0.0034318023056835708,768.6,1058,Cascaded,2027,768.6,1058
D0,sys/DC/CRJ-900,AVL,4.1,sys,DC,,,AVL,CRJ-900,64.23,589,917,67.44,5.00%,0.0027613819099011248,618.45,917,Cascaded,2027,618.45,917
D0,sys/DC/CRJ-900,AZO,4.1,sys,DC,,,AZO,CRJ-900,70.42,557,791,73.94,5.00%,0.0026113577653903673,584.85,791,Cascaded,2027,584.85,791
D0,sys/DC/CRJ-900,BDL,4.1,sys,DC,,,BDL,CRJ-900,100.0,1,1,105.0,5.00%,4.688254515961162e-06,1.05,1,Cascaded,2027,1.05,1
D0,sys/DC/CRJ-900,BGM,4.1,sys,DC,,,BGM,CRJ-900,68.16,137,201,71.57,5.00%,0.0006422908686866792,143.85,201,Cascaded,2027,143.85,201
D0,sys/DC/CRJ-900,BGR,4.1,sys,DC,,,BGR,CRJ-900,77.93,939,1205,81.82,5.00%,0.004402270990487531,985.95,1205,Cascaded,2027,985.95,1205
D0,sys/DC/CRJ-900,BHM,4.1,sys,DC,,,BHM,CRJ-900,68.15,1085,1592,71.56,5.00%,0.005086756149817862,1139.25,1592,Cascaded,2027,1139.25,1592
D0,sys/DC/CRJ-900,BIS,4.1,sys,DC,,,BIS,CRJ-900,71.43,585,819,75.0,5.00%,0.0027426288918372802,614.25,819,Cascaded,2027,614.25,819
D0,sys/DC/CRJ-900,BJI,4.1,sys,DC,,,BJI,CRJ-900,82.82,593,716,86.96,5.00%,0.0027801349279649693,622.65,716,Cascaded,2027,622.65,716
