KPI_Name,parent,node,Tier,sys,ml_dc_1,ml_dc_2,Mo_Nb,frst_flt_ind,dom_int,vendor,station,fleet,Baseline,Baseline_Num,Baseline_Den,Goal,Stretch,Contribution,Goal_Num,Goal_Den,Source,Goal_Yr,YTD_Num,YTD_Den
D0,sys/DC/OO,7,4.0,sys,DC,OO,7,,,,,,73.91,17488,23660,77.61,5.00%,0.0863417331542776,18362.4,23660,Cascaded,2027,121385.25,155677
D0,sys/DC/OO,8,4.0,sys,DC,OO,8,,,,,,77.99,18365,23548,81.89,5.00%,0.09067165652895173,19283.25,23548,Cascaded,2027,140668.5,179225
D0,sys/DC/OO,9,4.0,sys,DC,OO,9,,,,,,84.22,18804,22328,88.43,5.00%,0.09283908681570424,19744.2,22328,Cascaded,2027,160412.7,201553
D0,sys/DC/OO,10,4.0,sys,DC,OO,10,,,,,,83.22,19295,23186,87.38,5.00%,0.09526325144166206,20259.75,23186,Cascaded,2027,180672.45,224739
D0,sys/DC/OO,11,4.0,sys,DC,OO,11,,,,,,81.39,16470,20237,85.45,5.00%,0.0813156647444506,17293.5,20237,Cascaded,2027,197965.95,244976
D0,sys/DC/OO,12,4.0,sys,DC,OO,12,,,,,,67.28,14005,20815,70.65,5.00%,0.06914546962635279,14705.25,20815,Cascaded,2027,212671.2,265791
D0,sys/DC/YX,1,4.0,sys,DC,YX,1,,,,,,75.28,5466,7261,79.04,5.00%,0.07746159514766737,5739.3,7261,Cascaded,2027,5739.3,7261
D0,sys/DC/YX,2,4.0,sys,DC,YX,2,,,,,,74.89,5104,6815,78.64,5.00%,0.0723315004818321,5359.2,6815,Cascaded,2027,11098.5,14076
D0,sys/DC/YX,3,4.0,sys,DC,YX,3,,,,,,65.94,5447,8261,69.23,5.00%,0.07719233603537215,5719.35,8261,Cascaded,2027,16817.85,22337
D0,sys/DC/YX,4,4.0,sys,DC,YX,4,,,,,,71.42,6299,8820,74.99,5.00%,0.08926648149197891,6613.95,8820,Cascaded,2027,23431.8,31157
D0,sys/DC/YX,5,4.0,sys,DC,YX,5,,,,,,73.73,6547,8880,77.41,5.00%,0.09278102148404285,6874.35,8880,Cascaded,2027,30306.149999999998,40037
D0,sys/DC/YX,6,4.0,sys,DC,YX,6,,,,,,68.52,5894,8602,71.94,5.00%,0.08352701094042288,6188.7,8602,Cascaded,2027,36494.85,48639
D0,sys/DC/YX,7,4.0,sys,DC,YX,7,,,,,,65.65,5722,8716,68.93,5.00%,0.08108950739753983,6008.1,8716,Cascaded,2027,42502.95,57355
D0,sys/DC/YX,8,4.0,sys,DC,YX,8,,,,,,78.47,7007,8930,82.39,5.00%,0.09929992630803243,7357.35,8930,Cascaded,2027,49860.299999999996,66285
D0,sys/DC/YX,9,4.0,sys,DC,YX,9,,,,,,73.27,6179,8433,76.94,5.00%,0.0875658976248512,6487.95,8433,Cascaded,2027,56348.25,74718
D0,sys/DC/YX,10,4.0,sys,DC,YX,10,,,,,,69.74,6053,8679,73.23,5.00%,0.08578028456436709,6355.65,8679,Cascaded,2027,62703.899999999994,83397
D0,sys/DC/YX,11,4.0,sys,DC,YX,11,,,,,,73.61,5660,7689,77.29,5.00%,0.08021087239952383,5943.0,7689,Cascaded,2027,68646.9,91086
D0,sys/DC/YX,12,4.0,sys,DC,YX,12,,,,,,65.3,5186,7942,68.56,5.00%,0.07349356612436937,5445.3,7942,Cascaded,2027,74092.2,99028
D0,sys/DL/DL,1,4.0,sys,DL,DL,1,,,,,,64.47,56920,88295,67.69,5.00%,0.07392399802592275,59766.0,88295,Cascaded,2027,59766.0,88295
D0,sys/DL/DL,2,4.0,sys,DL,DL,2,,,,,,68.04,56881,83597,71.44,5.00%,0.07387334735967167,59725.05,83597,Cascaded,2027,119491.05,171892
D0,sys/DL/DL,3,4.0,sys,DL,DL,3,,,,,,65.33,63331,96947,68.59,5.00%,0.08225018831657965,66497.55,96947,Cascaded,2027,185988.6,268839
D0,sys/DL/DL,4,4.0,sys,DL,DL,4,,,,,,72.6,71625,98652,76.23,5.00%,0.09302189667264085,75206.25,98652,Cascaded,2027,261194.85,367491
D0,sys/DL/DL,5,4.0,sys,DL,DL,5,,,,,,67.54,67436,99843,70.92,5.00%,0.08758149562326294,70807.8,99843,Cascaded,2027,332002.65,467334
D0,sys/DL/DL,6,4.0,sys,DL,DL,6,,,,,,58.05,59373,102278,60.95,5.00%,0.07710979505961194,62341.65,102278,Cascaded,2027,394344.3,569612
D0,sys/DL/DL,7,4.0,sys,DL,DL,7,,,,,,59.41,62970,105994,62.38,5.00%,0.08178134496999923,66118.5,105994,Cascaded,2027,460462.80000000005,675606
D0,sys/DL/DL,8,4.0,sys,DL,DL,8,,,,,,67.92,69360,102116,71.32,5.00%,0.09008026182498247,72828.0,102116,Cascaded,2027,533290.8,777722
D0,sys/DL/DL,9,4.0,sys,DL,DL,9,,,,,,75.02,72061,96057,78.77,5.00%,0.09358814514662718,75664.05,96057,Cascaded,2027,608954.85,873779
D0,sys/DL/DL,10,4.0,sys,DL,DL,10,,,,,,70.56,71098,100763,74.09,5.00%,0.09233746331073535,74652.9,100763,Cascaded,2027,683607.75,974542
D0,sys/DL/DL,11,4.0,sys,DL,DL,11,,,,,,70.12,65131,92890,73.62,5.00%,0.08458791137432141,68387.55,92890,Cascaded,2027,751995.3,1067432
D0,sys/DL/DL,12,4.0,sys,DL,DL,12,,,,,,56.69,53794,94895,59.52,5.00%,0.06986415231564456,56483.7,94895,Cascaded,2027,808479.0,1162327
D0,sys/DC/9E/1,First Flight,5.0,sys,DC,9E,1,First Flight,,,,,81.74,2878,3521,85.83,5.00%,0.21177336276674025,3021.9,3521,Cascaded,2027,3021.9,3521
D0,sys/DC/9E/1,Not First Flight,5.0,sys,DC,9E,1,Not First Flight,,,,,66.69,10712,16062,70.03,5.00%,0.7882266372332597,11247.6,16062,Cascaded,2027,11247.6,16062
D0,sys/DC/9E/10,First Flight,5.0,sys,DC,9E,10,First Flight,,,,,89.77,3441,3833,94.26,5.00%,0.20526127415891196,3613.05,3833,Cascaded,2027,3613.05,3833
D0,sys/DC/9E/10,Not First Flight,5.0,sys,DC,9E,10,Not First Flight,,,,,72.57,13323,18359,76.2,5.00%,0.7947387258410881,13989.15,18359,Cascaded,2027,13989.150000000001,18359
D0,sys/DC/9E/11,First Flight,5.0,sys,DC,9E,11,First Flight,,,,,85.49,2992,3500,89.76,5.00%,0.2157640441335545,3141.6,3500,Cascaded,2027,3141.6,3500
D0,sys/DC/9E/11,Not First Flight,5.0,sys,DC,9E,11,Not First Flight,,,,,66.74,10875,16294,70.08,5.00%,0.7842359558664456,11418.75,16294,Cascaded,2027,11418.75,16294
D0,sys/DC/9E/12,First Flight,5.0,sys,DC,9E,12,First Flight,,,,,76.21,2719,3568,80.02,5.00%,0.2372393333915016,2854.95,3568,Cascaded,2027,2854.9500000000003,3568
D0,sys/DC/9E/12,Not First Flight,5.0,sys,DC,9E,12,Not First Flight,,,,,50.22,8742,17408,52.73,5.00%,0.7627606666084984,9179.1,17408,Cascaded,2027,9179.1,17408
D0,sys/DC/9E/2,First Flight,5.0,sys,DC,9E,2,First Flight,,,,,85.12,2768,3252,89.37,5.00%,0.20417496496274987,2906.4,3252,Cascaded,2027,2906.4,3252
D0,sys/DC/9E/2,Not First Flight,5.0,sys,DC,9E,2,Not First Flight,,,,,70.26,10789,15355,73.78,5.00%,0.7958250350372501,11328.45,15355,Cascaded,2027,11328.45,15355
D0,sys/DC/9E/3,First Flight,5.0,sys,DC,9E,3,First Flight,,,,,79.42,2891,3640,83.39,5.00%,0.20688421353943037,3035.55,3640,Cascaded,2027,3035.55,3640
D0,sys/DC/9E/3,Not First Flight,5.0,sys,DC,9E,3,Not First Flight,,,,,59.27,11083,18699,62.23,5.00%,0.7931157864605697,11637.15,18699,Cascaded,2027,11637.150000000001,18699
D0,sys/DC/9E/4,First Flight,5.0,sys,DC,9E,4,First Flight,,,,,85.25,3097,3633,89.51,5.00%,0.19636063910727872,3251.85,3633,Cascaded,2027,3251.8500000000004,3633
D0,sys/DC/9E/4,Not First Flight,5.0,sys,DC,9E,4,Not First Flight,,,,,66.44,12675,19077,69.76,5.00%,0.8036393608927213,13308.75,19077,Cascaded,2027,13308.750000000002,19077
D0,sys/DC/9E/5,First Flight,5.0,sys,DC,9E,5,First Flight,,,,,84.72,3095,3653,88.96,5.00%,0.2015892659415098,3249.75,3653,Cascaded,2027,3249.7500000000005,3653
D0,sys/DC/9E/5,Not First Flight,5.0,sys,DC,9E,5,Not First Flight,,,,,65.18,12258,18805,68.44,5.00%,0.7984107340584902,12870.9,18805,Cascaded,2027,12870.900000000001,18805
D0,sys/DC/9E/6,First Flight,5.0,sys,DC,9E,6,First Flight,,,,,80.47,2756,3425,84.49,5.00%,0.22172164119066773,2893.8,3425,Cascaded,2027,2893.8,3425
D0,sys/DC/9E/6,Not First Flight,5.0,sys,DC,9E,6,Not First Flight,,,,,55.69,9674,17371,58.48,5.00%,0.7782783588093323,10157.7,17371,Cascaded,2027,10157.7,17371
D0,sys/DC/9E/7,First Flight,5.0,sys,DC,9E,7,First Flight,,,,,81.16,2963,3651,85.21,5.00%,0.22238066646652657,3111.15,3651,Cascaded,2027,3111.15,3651
D0,sys/DC/9E/7,Not First Flight,5.0,sys,DC,9E,7,Not First Flight,,,,,58.14,10361,17822,61.04,5.00%,0.7776193335334735,10879.05,17822,Cascaded,2027,10879.050000000001,17822
D0,sys/DC/9E/8,First Flight,5.0,sys,DC,9E,8,First Flight,,,,,87.26,3295,3776,91.62,5.00%,0.19731720462303132,3459.75,3776,Cascaded,2027,3459.75,3776
D0,sys/DC/9E/8,Not First Flight,5.0,sys,DC,9E,8,Not First Flight,,,,,71.15,13404,18839,74.71,5.00%,0.8026827953769686,14074.2,18839,Cascaded,2027,14074.2,18839
D0,sys/DC/9E/9,First Flight,5.0,sys,DC,9E,9,First Flight,,,,,90.32,3302,3656,94.83,5.00%,0.19331420876997835,3467.1,3656,Cascaded,2027,3467.1,3656
D0,sys/DC/9E/9,Not First Flight,5.0,sys,DC,9E,9,Not First Flight,,,,,77.83,13779,17705,81.72,5.00%,0.8066857912300217,14467.95,17705,Cascaded,2027,14467.949999999999,17705
D0,sys/DC/OO/1,First Flight,5.0,sys,DC,OO,1,First Flight,,,,,81.3,2805,3450,85.37,5.00%,0.19990022805017105,2945.25,3450,Cascaded,2027,2945.25,3450
D0,sys/DC/OO/1,Not First Flight,5.0,sys,DC,OO,1,Not First Flight,,,,,66.14,11227,16975,69.45,5.00%,0.800099771949829,11788.35,16975,Cascaded,2027,11788.35,16975
D0,sys/DC/OO/10,First Flight,5.0,sys,DC,OO,10,First Flight,,,,,89.86,3413,3798,94.36,5.00%,0.1768852034205753,3583.65,3798,Cascaded,2027,3583.65,3798
D0,sys/DC/OO/10,Not First Flight,5.0,sys,DC,OO,10,Not First Flight,,,,,81.92,15882,19388,86.01,5.00%,0.8231147965794248,16676.1,19388,Cascaded,2027,16676.1,19388
D0,sys/DC/OO/11,First Flight,5.0,sys,DC,OO,11,First Flight,,,,,89.59,3108,3469,94.07,5.00%,0.18870673952641165,3263.4,3469,Cascaded,2027,3263.4,3469
D0,sys/DC/OO/11,Not First Flight,5.0,sys,DC,OO,11,Not First Flight,,,,,79.69,13362,16768,83.67,5.00%,0.8112932604735883,14030.1,16768,Cascaded,2027,14030.1,16768
D0,sys/DC/OO/12,First Flight,5.0,sys,DC,OO,12,First Flight,,,,,82.19,2796,3402,86.3,5.00%,0.19964298464833988,2935.8,3402,Cascaded,2027,2935.8,3402
D0,sys/DC/OO/12,Not First Flight,5.0,sys,DC,OO,12,Not First Flight,,,,,64.37,11209,17413,67.59,5.00%,0.8003570153516602,11769.45,17413,Cascaded,2027,11769.45,17413
D0,sys/DC/OO/2,First Flight,5.0,sys,DC,OO,2,First Flight,,,,,85.76,2783,3245,90.05,5.00%,0.19339819318971507,2922.15,3245,Cascaded,2027,2922.15,3245
D0,sys/DC/OO/2,Not First Flight,5.0,sys,DC,OO,2,Not First Flight,,,,,70.4,11607,16487,73.92,5.00%,0.8066018068102849,12187.35,16487,Cascaded,2027,12187.35,16487
D0,sys/DC/OO/3,First Flight,5.0,sys,DC,OO,3,First Flight,,,,,84.14,3083,3664,88.35,5.00%,0.1905909990108803,3237.15,3664,Cascaded,2027,3237.1499999999996,3664
D0,sys/DC/OO/3,Not First Flight,5.0,sys,DC,OO,3,Not First Flight,,,,,68.4,13093,19143,71.82,5.00%,0.8094090009891197,13747.65,19143,Cascaded,2027,13747.65,19143
D0,sys/DC/OO/4,First Flight,5.0,sys,DC,OO,4,First Flight,,,,,88.63,3259,3677,93.06,5.00%,0.17933197600836406,3421.95,3677,Cascaded,2027,3421.9500000000003,3677
D0,sys/DC/OO/4,Not First Flight,5.0,sys,DC,OO,4,Not First Flight,,,,,77.63,14914,19211,81.51,5.00%,0.820668023991636,15659.7,19211,Cascaded,2027,15659.7,19211
D0,sys/DC/OO/5,First Flight,5.0,sys,DC,OO,5,First Flight,,,,,89.41,3327,3721,93.88,5.00%,0.18435196985648583,3493.35,3721,Cascaded,2027,3493.3500000000004,3721
D0,sys/DC/OO/5,Not First Flight,5.0,sys,DC,OO,5,Not First Flight,,,,,76.57,14720,19224,80.4,5.00%,0.8156480301435142,15456.0,19224,Cascaded,2027,15456.000000000002,19224
D0,sys/DC/OO/6,First Flight,5.0,sys,DC,OO,6,First Flight,,,,,88.16,3224,3657,92.57,5.00%,0.18636915428637493,3385.2,3657,Cascaded,2027,3385.2000000000003,3657
D0,sys/DC/OO/6,Not First Flight,5.0,sys,DC,OO,6,Not First Flight,,,,,71.95,14075,19563,75.54,5.00%,0.8136308457136251,14778.75,19563,Cascaded,2027,14778.75,19563
D0,sys/DC/OO/7,First Flight,5.0,sys,DC,OO,7,First Flight,,,,,87.65,3308,3774,92.03,5.00%,0.18915827996340348,3473.4,3774,Cascaded,2027,3473.4,3774
D0,sys/DC/OO/7,Not First Flight,5.0,sys,DC,OO,7,Not First Flight,,,,,71.31,14180,19886,74.87,5.00%,0.8108417200365965,14889.0,19886,Cascaded,2027,14889.000000000002,19886
D0,sys/DC/OO/8,First Flight,5.0,sys,DC,OO,8,First Flight,,,,,89.66,3452,3850,94.15,5.00%,0.18796624013068336,3624.6,3850,Cascaded,2027,3624.6,3850
D0,sys/DC/OO/8,Not First Flight,5.0,sys,DC,OO,8,Not First Flight,,,,,75.71,14913,19698,79.49,5.00%,0.8120337598693166,15658.65,19698,Cascaded,2027,15658.65,19698
D0,sys/DC/OO/9,First Flight,5.0,sys,DC,OO,9,First Flight,,,,,91.71,3431,3741,96.3,5.00%,0.18246117847266538,3602.55,3741,Cascaded,2027,3602.55,3741
D0,sys/DC/OO/9,Not First Flight,5.0,sys,DC,OO,9,Not First Flight,,,,,82.71,15373,18587,86.84,5.00%,0.8175388215273346,16141.65,18587,Cascaded,2027,16141.650000000001,18587
D0,sys/DC/YX/1,First Flight,5.0,sys,DC,YX,1,First Flight,,,,,82.43,1154,1400,86.55,5.00%,0.2111233077204537,1211.7,1400,Cascaded,2027,1211.7,1400
D0,sys/DC/YX/1,Not First Flight,5.0,sys,DC,YX,1,Not First Flight,,,,,73.57,4312,5861,77.25,5.00%,0.7888766922795463,4527.6,5861,Cascaded,2027,4527.6,5861
D0,sys/DC/YX/10,First Flight,5.0,sys,DC,YX,10,First Flight,,,,,89.83,1378,1534,94.32,5.00%,0.22765570791343134,1446.9,1534,Cascaded,2027,1446.8999999999999,1534
D0,sys/DC/YX/10,Not First Flight,5.0,sys,DC,YX,10,Not First Flight,,,,,65.43,4675,7145,68.7,5.00%,0.7723442920865686,4908.75,7145,Cascaded,2027,4908.75,7145
D0,sys/DC/YX/11,First Flight,5.0,sys,DC,YX,11,First Flight,,,,,88.59,1265,1428,93.01,5.00%,0.2234982332155477,1328.25,1428,Cascaded,2027,1328.25,1428
D0,sys/DC/YX/11,Not First Flight,5.0,sys,DC,YX,11,Not First Flight,,,,,70.2,4395,6261,73.71,5.00%,0.7765017667844523,4614.75,6261,Cascaded,2027,4614.75,6261
D0,sys/DC/YX/12,First Flight,5.0,sys,DC,YX,12,First Flight,,,,,78.29,1183,1511,82.21,5.00%,0.22811415349016584,1242.15,1511,Cascaded,2027,1242.15,1511
D0,sys/DC/YX/12,Not First Flight,5.0,sys,DC,YX,12,Not First Flight,,,,,62.25,4003,6431,65.36,5.00%,0.7718858465098342,4203.15,6431,Cascaded,2027,4203.150000000001,6431
D0,sys/DC/YX/2,First Flight,5.0,sys,DC,YX,2,First Flight,,,,,86.81,1112,1281,91.15,5.00%,0.21786833855799373,1167.6,1281,Cascaded,2027,1167.6,1281
D0,sys/DC/YX/2,Not First Flight,5.0,sys,DC,YX,2,Not First Flight,,,,,72.14,3992,5534,75.74,5.00%,0.7821316614420063,4191.6,5534,Cascaded,2027,4191.599999999999,5534
D0,sys/DC/YX/3,First Flight,5.0,sys,DC,YX,3,First Flight,,,,,82.71,1263,1527,86.85,5.00%,0.23187075454378556,1326.15,1527,Cascaded,2027,1326.1499999999999,1527
D0,sys/DC/YX/3,Not First Flight,5.0,sys,DC,YX,3,Not First Flight,,,,,62.13,4184,6734,65.24,5.00%,0.7681292454562144,4393.2,6734,Cascaded,2027,4393.2,6734
D0,sys/DC/YX/4,First Flight,5.0,sys,DC,YX,4,First Flight,,,,,85.28,1327,1556,89.55,5.00%,0.21066836005715192,1393.35,1556,Cascaded,2027,1393.35,1556
D0,sys/DC/YX/4,Not First Flight,5.0,sys,DC,YX,4,Not First Flight,,,,,68.45,4972,7264,71.87,5.00%,0.789331639942848,5220.6,7264,Cascaded,2027,5220.599999999999,7264
D0,sys/DC/YX/5,First Flight,5.0,sys,DC,YX,5,First Flight,,,,,87.41,1354,1549,91.78,5.00%,0.20681228043378647,1421.7,1549,Cascaded,2027,1421.6999999999998,1549
D0,sys/DC/YX/5,Not First Flight,5.0,sys,DC,YX,5,Not First Flight,,,,,70.84,5193,7331,74.38,5.00%,0.7931877195662135,5452.65,7331,Cascaded,2027,5452.65,7331
D0,sys/DC/YX/6,First Flight,5.0,sys,DC,YX,6,First Flight,,,,,86.44,1307,1512,90.76,5.00%,0.22175093315235833,1372.35,1512,Cascaded,2027,1372.35,1512
D0,sys/DC/YX/6,Not First Flight,5.0,sys,DC,YX,6,Not First Flight,,,,,64.7,4587,7090,67.93,5.00%,0.7782490668476417,4816.35,7090,Cascaded,2027,4816.349999999999,7090
D0,sys/DC/YX/7,First Flight,5.0,sys,DC,YX,7,First Flight,,,,,83.72,1286,1536,87.91,5.00%,0.2247465921006641,1350.3,1536,Cascaded,2027,1350.3,1536
D0,sys/DC/YX/7,Not First Flight,5.0,sys,DC,YX,7,Not First Flight,,,,,61.78,4436,7180,64.87,5.00%,0.775253407899336,4657.8,7180,Cascaded,2027,4657.799999999999,7180
D0,sys/DC/YX/8,First Flight,5.0,sys,DC,YX,8,First Flight,,,,,88.34,1386,1569,92.75,5.00%,0.1978021978021978,1455.3,1569,Cascaded,2027,1455.3,1569
D0,sys/DC/YX/8,Not First Flight,5.0,sys,DC,YX,8,Not First Flight,,,,,76.36,5621,7361,80.18,5.00%,0.8021978021978022,5902.05,7361,Cascaded,2027,5902.049999999999,7361
D0,sys/DC/YX/9,First Flight,5.0,sys,DC,YX,9,First Flight,,,,,89.35,1342,1502,93.81,5.00%,0.2171872471273669,1409.1,1502,Cascaded,2027,1409.1,1502
D0,sys/DC/YX/9,Not First Flight,5.0,sys,DC,YX,9,Not First Flight,,,,,69.79,4837,6931,73.28,5.00%,0.7828127528726331,5078.85,6931,Cascaded,2027,5078.849999999999,6931
D0,sys/DL/DL/1,First Flight,5.0,sys,DL,DL,1,First Flight,,,,,76.45,15190,19870,80.27,5.00%,0.266865776528461,15949.5,19870,Cascaded,2027,15949.5,19870
D0,sys/DL/DL/1,Not First Flight,5.0,sys,DL,DL,1,Not First Flight,,,,,60.99,41730,68425,64.04,5.00%,0.733134223471539,43816.5,68425,Cascaded,2027,43816.5,68425
D0,sys/DL/DL/10,First Flight,5.0,sys,DL,DL,10,First Flight,,,,,83.92,16686,19883,88.12,5.00%,0.23469014599566795,17520.3,19883,Cascaded,2027,17520.3,19883
D0,sys/DL/DL/10,Not First Flight,5.0,sys,DL,DL,10,Not First Flight,,,,,67.27,54412,80880,70.64,5.00%,0.765309854004332,57132.6,80880,Cascaded,2027,57132.6,80880
D0,sys/DL/DL/11,First Flight,5.0,sys,DL,DL,11,First Flight,,,,,82.18,15984,19450,86.29,5.00%,0.24541309054060279,16783.2,19450,Cascaded,2027,16783.2,19450
D0,sys/DL/DL/11,Not First Flight,5.0,sys,DL,DL,11,Not First Flight,,,,,66.92,49147,73440,70.27,5.00%,0.7545869094593972,51604.35,73440,Cascaded,2027,51604.350000000006,73440
D0,sys/DL/DL/12,First Flight,5.0,sys,DL,DL,12,First Flight,,,,,71.69,14026,19564,75.28,5.00%,0.2607353979997769,14727.3,19564,Cascaded,2027,14727.3,19564
D0,sys/DL/DL/12,Not First Flight,5.0,sys,DL,DL,12,Not First Flight,,,,,52.79,39768,75331,55.43,5.00%,0.739264602000223,41756.4,75331,Cascaded,2027,41756.399999999994,75331
D0,sys/DL/DL/2,First Flight,5.0,sys,DL,DL,2,First Flight,,,,,79.9,14742,18450,83.9,5.00%,0.25917265870853184,15479.1,18450,Cascaded,2027,15479.1,18450
D0,sys/DL/DL/2,Not First Flight,5.0,sys,DL,DL,2,Not First Flight,,,,,64.68,42139,65147,67.92,5.00%,0.7408273412914681,44245.95,65147,Cascaded,2027,44245.950000000004,65147
D0,sys/DL/DL/3,First Flight,5.0,sys,DL,DL,3,First Flight,,,,,77.28,15537,20105,81.14,5.00%,0.24533009110861978,16313.85,20105,Cascaded,2027,16313.85,20105
D0,sys/DL/DL/3,Not First Flight,5.0,sys,DL,DL,3,Not First Flight,,,,,62.2,47794,76842,65.31,5.00%,0.7546699088913802,50183.7,76842,Cascaded,2027,50183.700000000004,76842
D0,sys/DL/DL/4,First Flight,5.0,sys,DL,DL,4,First Flight,,,,,84.8,16734,19734,89.04,5.00%,0.23363350785340314,17570.7,19734,Cascaded,2027,17570.7,19734
D0,sys/DL/DL/4,Not First Flight,5.0,sys,DL,DL,4,Not First Flight,,,,,69.55,54891,78918,73.03,5.00%,0.7663664921465969,57635.55,78918,Cascaded,2027,57635.55,78918
D0,sys/DL/DL/5,First Flight,5.0,sys,DL,DL,5,First Flight,,,,,82.18,16052,19533,86.29,5.00%,0.23803309804852008,16854.6,19533,Cascaded,2027,16854.600000000002,19533
D0,sys/DL/DL/5,Not First Flight,5.0,sys,DL,DL,5,Not First Flight,,,,,63.98,51384,80310,67.18,5.00%,0.7619669019514799,53953.2,80310,Cascaded,2027,53953.200000000004,80310
D0,sys/DL/DL/6,First Flight,5.0,sys,DL,DL,6,First Flight,,,,,77.28,14329,18542,81.14,5.00%,0.24133865561787343,15045.45,18542,Cascaded,2027,15045.45,18542
D0,sys/DL/DL/6,Not First Flight,5.0,sys,DL,DL,6,Not First Flight,,,,,53.79,45044,83736,56.48,5.00%,0.7586613443821265,47296.2,83736,Cascaded,2027,47296.200000000004,83736
