KPI_Name,parent,node,Tier,sys,ml_dc_1,ml_dc_2,Mo_Nb,dom_int,station,fleet,Baseline,Baseline_Num,Baseline_Den,Goal,Stretch,Contribution,Goal_Num,Goal_Den,Source,Goal_Yr,YTD_Num,YTD_Den
D0,DC/9E/1,D,5.0,,DC,9E,1,D,,,69.39,12784,18423,72.86,5.00%,0.940691685062546,13423.2,18423,Cascaded,2027,13423.2,18423
D0,DC/9E/1,I,5.0,,DC,9E,1,I,,,68.42,806,1178,71.84,5.00%,0.05930831493745401,846.3,1178,Cascaded,2027,846.3,1178
D0,DC/9E/10,D,5.0,,DC,9E,10,D,,,75.46,15812,20953,79.24,5.00%,0.9430428818512554,16602.6,20953,Cascaded,2027,16602.600000000002,20953
D0,DC/9E/10,I,5.0,,DC,9E,10,I,,,76.46,955,1249,80.28,5.00%,0.05695711814874456,1002.75,1249,Cascaded,2027,1002.7500000000001,1249
D0,DC/9E/11,D,5.0,,DC,9E,11,D,,,70.17,13081,18643,73.67,5.00%,0.9431146359048306,13735.05,18643,Cascaded,2027,13735.05,18643
D0,DC/9E/11,I,5.0,,DC,9E,11,I,,,67.73,789,1165,71.11,5.00%,0.05688536409516943,828.45,1165,Cascaded,2027,828.45,1165
D0,DC/9E/12,D,5.0,,DC,9E,12,D,,,54.72,10895,19911,57.45,5.00%,0.9505321933344966,11439.75,19911,Cascaded,2027,11439.75,19911
D0,DC/9E/12,I,5.0,,DC,9E,12,I,,,52.4,567,1082,55.02,5.00%,0.049467806665503405,595.35,1082,Cascaded,2027,595.35,1082
D0,DC/9E/2,D,5.0,,DC,9E,2,D,,,72.8,12751,17516,76.44,5.00%,0.9404779465997934,13388.55,17516,Cascaded,2027,13388.55,17516
D0,DC/9E/2,I,5.0,,DC,9E,2,I,,,73.16,807,1103,76.82,5.00%,0.05952205340020652,847.35,1103,Cascaded,2027,847.35,1103
D0,DC/9E/3,D,5.0,,DC,9E,3,D,,,62.45,13161,21073,65.58,5.00%,0.94182052382997,13819.05,21073,Cascaded,2027,13819.050000000001,21073
D0,DC/9E/3,I,5.0,,DC,9E,3,I,,,63.81,813,1274,67.01,5.00%,0.05817947617003005,853.65,1274,Cascaded,2027,853.6500000000001,1274
D0,DC/9E/4,D,5.0,,DC,9E,4,D,,,69.21,14780,21355,72.67,5.00%,0.9369849118803094,15519.0,21355,Cascaded,2027,15519.0,21355
D0,DC/9E/4,I,5.0,,DC,9E,4,I,,,72.55,994,1370,76.18,5.00%,0.06301508811969063,1043.7,1370,Cascaded,2027,1043.7,1370
D0,DC/9E/5,D,5.0,,DC,9E,5,D,,,68.12,14422,21171,71.53,5.00%,0.9392992054187834,15143.1,21171,Cascaded,2027,15143.1,21171
D0,DC/9E/5,I,5.0,,DC,9E,5,I,,,71.75,932,1299,75.33,5.00%,0.06070079458121662,978.6,1299,Cascaded,2027,978.6,1299
D0,DC/9E/6,D,5.0,,DC,9E,6,D,,,59.5,11633,19550,62.48,5.00%,0.9358809332260659,12214.65,19550,Cascaded,2027,12214.65,19550
D0,DC/9E/6,I,5.0,,DC,9E,6,I,,,63.25,797,1260,66.42,5.00%,0.06411906677393403,836.85,1260,Cascaded,2027,836.85,1260
D0,DC/9E/7,D,5.0,,DC,9E,7,D,,,62.07,12577,20263,65.17,5.00%,0.9438649155722326,13205.85,20263,Cascaded,2027,13205.85,20263
D0,DC/9E/7,I,5.0,,DC,9E,7,I,,,61.06,748,1225,64.11,5.00%,0.05613508442776736,785.4,1225,Cascaded,2027,785.4,1225
D0,DC/9E/8,D,5.0,,DC,9E,8,D,,,73.59,15632,21241,77.27,5.00%,0.9361039583208576,16413.6,21241,Cascaded,2027,16413.600000000002,21241
D0,DC/9E/8,I,5.0,,DC,9E,8,I,,,77.15,1067,1383,81.01,5.00%,0.06389604167914247,1120.35,1383,Cascaded,2027,1120.3500000000001,1383
D0,DC/9E/9,D,5.0,,DC,9E,9,D,,,79.8,16058,20123,83.79,5.00%,0.9399438070709436,16860.9,20123,Cascaded,2027,16860.9,20123
D0,DC/9E/9,I,5.0,,DC,9E,9,I,,,82.28,1026,1247,86.39,5.00%,0.06005619292905643,1077.3,1247,Cascaded,2027,1077.3,1247
D0,DC/OO/1,D,5.0,,DC,OO,1,D,,,68.62,13524,19708,72.05,5.00%,0.962082947997439,14200.2,19708,Cascaded,2027,14200.2,19708
D0,DC/OO/1,I,5.0,,DC,OO,1,I,,,68.42,533,779,71.84,5.00%,0.037917052002561,559.65,779,Cascaded,2027,559.65,779
D0,DC/OO/10,D,5.0,,DC,OO,10,D,,,83.08,18475,22237,87.24,5.00%,0.9561144749780055,19398.75,22237,Cascaded,2027,19398.75,22237
D0,DC/OO/10,I,5.0,,DC,OO,10,I,,,85.48,848,992,89.76,5.00%,0.04388552502199451,890.4,992,Cascaded,2027,890.4000000000001,992
D0,DC/OO/11,D,5.0,,DC,OO,11,D,,,81.45,15846,19454,85.53,5.00%,0.9604800581888714,16638.3,19454,Cascaded,2027,16638.300000000003,19454
D0,DC/OO/11,I,5.0,,DC,OO,11,I,,,78.93,652,826,82.88,5.00%,0.03951994181112862,684.6,826,Cascaded,2027,684.6,826
D0,DC/OO/12,D,5.0,,DC,OO,12,D,,,67.15,13429,19998,70.51,5.00%,0.9569585975913917,14100.45,19998,Cascaded,2027,14100.449999999999,19998
D0,DC/OO/12,I,5.0,,DC,OO,12,I,,,68.4,604,883,71.82,5.00%,0.04304140240860828,634.2,883,Cascaded,2027,634.1999999999999,883
D0,DC/OO/2,D,5.0,,DC,OO,2,D,,,72.67,13812,19007,76.3,5.00%,0.9583015333379588,14502.6,19007,Cascaded,2027,14502.6,19007
D0,DC/OO/2,I,5.0,,DC,OO,2,I,,,78.15,601,769,82.06,5.00%,0.04169846666204121,631.05,769,Cascaded,2027,631.05,769
D0,DC/OO/3,D,5.0,,DC,OO,3,D,,,70.82,15562,21975,74.36,5.00%,0.9602616314945082,16340.1,21975,Cascaded,2027,16340.099999999999,21975
D0,DC/OO/3,I,5.0,,DC,OO,3,I,,,72.6,644,887,76.23,5.00%,0.03973836850549179,676.2,887,Cascaded,2027,676.1999999999999,887
D0,DC/OO/4,D,5.0,,DC,OO,4,D,,,79.33,17478,22032,83.3,5.00%,0.9603824385955272,18351.9,22032,Cascaded,2027,18351.9,22032
D0,DC/OO/4,I,5.0,,DC,OO,4,I,,,79.32,721,909,83.28,5.00%,0.03961756140447277,757.05,909,Cascaded,2027,757.0500000000001,909
D0,DC/OO/5,D,5.0,,DC,OO,5,D,,,78.56,17239,21943,82.49,5.00%,0.953642750456381,18100.95,21943,Cascaded,2027,18100.95,21943
D0,DC/OO/5,I,5.0,,DC,OO,5,I,,,79.66,838,1052,83.64,5.00%,0.046357249543618965,879.9,1052,Cascaded,2027,879.9000000000001,1052
D0,DC/OO/6,D,5.0,,DC,OO,6,D,,,74.55,16526,22169,78.27,5.00%,0.9552601156069365,17352.3,22169,Cascaded,2027,17352.3,22169
D0,DC/OO/6,I,5.0,,DC,OO,6,I,,,72.4,774,1069,76.02,5.00%,0.04473988439306358,812.7,1069,Cascaded,2027,812.7,1069
D0,DC/OO/7,D,5.0,,DC,OO,7,D,,,73.79,16640,22550,77.48,5.00%,0.9513464067234578,17472.0,22550,Cascaded,2027,17472.0,22550
D0,DC/OO/7,I,5.0,,DC,OO,7,I,,,74.71,851,1139,78.45,5.00%,0.04865359327654222,893.55,1139,Cascaded,2027,893.55,1139
D0,DC/OO/8,D,5.0,,DC,OO,8,D,,,78.15,17597,22516,82.06,5.00%,0.9567746846454981,18476.85,22516,Cascaded,2027,18476.850000000002,22516
D0,DC/OO/8,I,5.0,,DC,OO,8,I,,,73.75,795,1078,77.44,5.00%,0.043225315354501956,834.75,1078,Cascaded,2027,834.7500000000001,1078
D0,DC/OO/9,D,5.0,,DC,OO,9,D,,,84.11,17923,21310,88.31,5.00%,0.9516805607178888,18819.15,21310,Cascaded,2027,18819.15,21310
D0,DC/OO/9,I,5.0,,DC,OO,9,I,,,84.97,910,1071,89.22,5.00%,0.04831943928211119,955.5,1071,Cascaded,2027,955.5000000000001,1071
D0,DC/YX/1,D,5.0,,DC,YX,1,D,,,75.27,5466,7262,79.03,5.00%,1.0,5739.3,7262,Cascaded,2027,5739.3,7262
D0,DC/YX/10,D,5.0,,DC,YX,10,D,,,69.75,6054,8680,73.23,5.00%,1.0,6356.7,8680,Cascaded,2027,6356.700000000001,8680
D0,DC/YX/11,D,5.0,,DC,YX,11,D,,,73.61,5660,7689,77.29,5.00%,1.0,5943.0,7689,Cascaded,2027,5943.0,7689
D0,DC/YX/12,D,5.0,,DC,YX,12,D,,,65.29,5187,7945,68.55,5.00%,1.0,5446.35,7945,Cascaded,2027,5446.35,7945
D0,DC/YX/2,D,5.0,,DC,YX,2,D,,,74.89,5104,6815,78.64,5.00%,1.0,5359.2,6815,Cascaded,2027,5359.200000000001,6815
D0,DC/YX/3,D,5.0,,DC,YX,3,D,,,65.94,5447,8261,69.23,5.00%,1.0,5719.35,8261,Cascaded,2027,5719.35,8261
D0,DC/YX/4,D,5.0,,DC,YX,4,D,,,71.42,6300,8821,74.99,5.00%,1.0,6615.0,8821,Cascaded,2027,6615.000000000001,8821
D0,DC/YX/5,D,5.0,,DC,YX,5,D,,,73.72,6547,8881,77.41,5.00%,1.0,6874.35,8881,Cascaded,2027,6874.35,8881
D0,DC/YX/6,D,5.0,,DC,YX,6,D,,,68.51,5894,8603,71.94,5.00%,1.0,6188.7,8603,Cascaded,2027,6188.700000000001,8603
D0,DC/YX/7,D,5.0,,DC,YX,7,D,,,65.63,5722,8718,68.92,5.00%,1.0,6008.1,8718,Cascaded,2027,6008.1,8718
D0,DC/YX/8,D,5.0,,DC,YX,8,D,,,78.46,7007,8931,82.38,5.00%,1.0,7357.35,8931,Cascaded,2027,7357.35,8931
D0,DC/YX/9,D,5.0,,DC,YX,9,D,,,73.27,6179,8433,76.94,5.00%,1.0,6487.95,8433,Cascaded,2027,6487.950000000001,8433
D0,DL/DL/1,D,5.0,,DL,DL,1,D,,,65.53,49681,75812,68.81,5.00%,0.87251492799438,52165.05,75812,Cascaded,2027,52165.05,75812
D0,DL/DL/1,I,5.0,,DL,DL,1,I,,,57.99,7259,12517,60.89,5.00%,0.12748507200561995,7621.95,12517,Cascaded,2027,7621.95,12517
D0,DL/DL/10,D,5.0,,DL,DL,10,D,,,71.23,63862,89659,74.79,5.00%,0.8982249852316521,67055.1,89659,Cascaded,2027,67055.09999999999,89659
D0,DL/DL/10,I,5.0,,DL,DL,10,I,,,65.17,7236,11104,68.42,5.00%,0.10177501476834791,7597.8,11104,Cascaded,2027,7597.799999999999,11104
D0,DL/DL/11,D,5.0,,DL,DL,11,D,,,70.67,58653,82990,74.21,5.00%,0.9005389138812547,61585.65,82990,Cascaded,2027,61585.65,82990
D0,DL/DL/11,I,5.0,,DL,DL,11,I,,,65.43,6478,9900,68.71,5.00%,0.0994610861187453,6801.9,9900,Cascaded,2027,6801.900000000001,9900
D0,DL/DL/12,D,5.0,,DL,DL,12,D,,,57.34,47427,82715,60.2,5.00%,0.8814280669801327,49798.35,82715,Cascaded,2027,49798.35,82715
D0,DL/DL/12,I,5.0,,DL,DL,12,I,,,52.28,6380,12204,54.89,5.00%,0.1185719330198673,6699.0,12204,Cascaded,2027,6699.0,12204
D0,DL/DL/2,D,5.0,,DL,DL,2,D,,,68.4,49638,72569,71.82,5.00%,0.872311261071278,52119.9,72569,Cascaded,2027,52119.899999999994,72569
D0,DL/DL/2,I,5.0,,DL,DL,2,I,,,65.7,7266,11060,68.98,5.00%,0.12768873892872207,7629.3,11060,Cascaded,2027,7629.299999999999,11060
D0,DL/DL/3,D,5.0,,DL,DL,3,D,,,65.39,54745,83727,68.65,5.00%,0.8640445714105336,57482.25,83727,Cascaded,2027,57482.25,83727
D0,DL/DL/3,I,5.0,,DL,DL,3,I,,,64.96,8614,13261,68.21,5.00%,0.13595542858946638,9044.7,13261,Cascaded,2027,9044.699999999999,13261
D0,DL/DL/4,D,5.0,,DL,DL,4,D,,,72.79,62741,86192,76.43,5.00%,0.8757450134695643,65878.05,86192,Cascaded,2027,65878.04999999999,86192
D0,DL/DL/4,I,5.0,,DL,DL,4,I,,,71.29,8902,12487,74.85,5.00%,0.12425498653043564,9347.1,12487,Cascaded,2027,9347.099999999999,12487
D0,DL/DL/5,D,5.0,,DL,DL,5,D,,,67.69,59354,87682,71.08,5.00%,0.8800225365477568,62321.7,87682,Cascaded,2027,62321.700000000004,87682
D0,DL/DL/5,I,5.0,,DL,DL,5,I,,,66.44,8092,12179,69.76,5.00%,0.11997746345224328,8496.6,12179,Cascaded,2027,8496.6,12179
D0,DL/DL/6,D,5.0,,DL,DL,6,D,,,58.38,52276,89538,61.3,5.00%,0.8804675525912452,54889.8,89538,Cascaded,2027,54889.8,89538
D0,DL/DL/6,I,5.0,,DL,DL,6,I,,,55.71,7097,12740,58.49,5.00%,0.11953244740875482,7451.85,12740,Cascaded,2027,7451.85,12740
D0,DL/DL/7,D,5.0,,DL,DL,7,D,,,59.76,55433,92761,62.75,5.00%,0.880308083214229,58204.65,92761,Cascaded,2027,58204.65,92761
D0,DL/DL/7,I,5.0,,DL,DL,7,I,,,56.96,7537,13233,59.8,5.00%,0.119691916785771,7913.85,13233,Cascaded,2027,7913.85,13233
D0,DL/DL/8,D,5.0,,DL,DL,8,D,,,68.74,61586,89594,72.18,5.00%,0.8879181084198385,64665.3,89594,Cascaded,2027,64665.3,89594
D0,DL/DL/8,I,5.0,,DL,DL,8,I,,,62.08,7774,12522,65.19,5.00%,0.11208189158016148,8162.7,12522,Cascaded,2027,8162.7,12522
D0,DL/DL/9,D,5.0,,DL,DL,9,D,,,76.01,64401,84731,79.81,5.00%,0.893701169842217,67621.05,84731,Cascaded,2027,67621.05,84731
D0,DL/DL/9,I,5.0,,DL,DL,9,I,,,67.63,7660,11326,71.01,5.00%,0.10629883015778299,8043.0,11326,Cascaded,2027,8043.0,11326
D0,DC/9E/1,CRJ-700,5.1,,DC,9E,1,,,CRJ-700,66.06,1814,2746,69.36,5.00%,0.1334805003679176,1904.7,2746,Cascaded,2027,1904.7,2746
D0,DC/9E/1,CRJ-900,5.1,,DC,9E,1,,,CRJ-900,69.87,11776,16855,73.36,5.00%,0.8665194996320824,12364.8,16855,Cascaded,2027,12364.8,16855
D0,DC/9E/10,CRJ-700,5.1,,DC,9E,10,,,CRJ-700,78.46,2804,3574,82.38,5.00%,0.1672332558000835,2944.2,3574,Cascaded,2027,2944.2000000000003,3574
D0,DC/9E/10,CRJ-900,5.1,,DC,9E,10,,,CRJ-900,74.96,13963,18628,78.7,5.00%,0.8327667441999165,14661.15,18628,Cascaded,2027,14661.150000000001,18628
D0,DC/9E/11,CRJ-700,5.1,,DC,9E,11,,,CRJ-700,73.44,2265,3084,77.12,5.00%,0.16330209084354722,2378.25,3084,Cascaded,2027,2378.25,3084
D0,DC/9E/11,CRJ-900,5.1,,DC,9E,11,,,CRJ-900,69.39,11605,16724,72.86,5.00%,0.8366979091564528,12185.25,16724,Cascaded,2027,12185.25,16724
D0,DC/9E/12,CRJ-700,5.1,,DC,9E,12,,,CRJ-700,54.44,1846,3391,57.16,5.00%,0.16105391729192112,1938.3,3391,Cascaded,2027,1938.3,3391
D0,DC/9E/12,CRJ-900,5.1,,DC,9E,12,,,CRJ-900,54.63,9616,17602,57.36,5.00%,0.8389460827080789,10096.8,17602,Cascaded,2027,10096.800000000001,17602
D0,DC/9E/2,CRJ-700,5.1,,DC,9E,2,,,CRJ-700,72.49,1847,2548,76.11,5.00%,0.136229532379407,1939.35,2548,Cascaded,2027,1939.35,2548
D0,DC/9E/2,CRJ-900,5.1,,DC,9E,2,,,CRJ-900,72.87,11711,16071,76.51,5.00%,0.8637704676205931,12296.55,16071,Cascaded,2027,12296.55,16071
D0,DC/9E/3,CRJ-700,5.1,,DC,9E,3,,,CRJ-700,61.56,2024,3288,64.64,5.00%,0.1448404179189924,2125.2,3288,Cascaded,2027,2125.2000000000003,3288
D0,DC/9E/3,CRJ-900,5.1,,DC,9E,3,,,CRJ-900,62.7,11950,19059,65.84,5.00%,0.8551595820810076,12547.5,19059,Cascaded,2027,12547.5,19059
D0,DC/9E/4,CRJ-700,5.1,,DC,9E,4,,,CRJ-700,70.12,2464,3514,73.63,5.00%,0.15620641562064155,2587.2,3514,Cascaded,2027,2587.2000000000003,3514
D0,DC/9E/4,CRJ-900,5.1,,DC,9E,4,,,CRJ-900,69.28,13310,19211,72.75,5.00%,0.8437935843793585,13975.5,19211,Cascaded,2027,13975.5,19211
D0,DC/9E/5,CRJ-700,5.1,,DC,9E,5,,,CRJ-700,66.4,2259,3402,69.72,5.00%,0.14712778429073858,2371.95,3402,Cascaded,2027,2371.9500000000003,3402
D0,DC/9E/5,CRJ-900,5.1,,DC,9E,5,,,CRJ-900,68.68,13095,19068,72.11,5.00%,0.8528722157092614,13749.75,19068,Cascaded,2027,13749.75,19068
D0,DC/9E/6,CRJ-700,5.1,,DC,9E,6,,,CRJ-700,57.17,1443,2524,60.03,5.00%,0.11609010458567981,1515.15,2524,Cascaded,2027,1515.15,2524
D0,DC/9E/6,CRJ-900,5.1,,DC,9E,6,,,CRJ-900,60.08,10987,18286,63.09,5.00%,0.8839098954143202,11536.35,18286,Cascaded,2027,11536.35,18286
D0,DC/9E/7,CRJ-700,5.1,,DC,9E,7,,,CRJ-700,62.58,1898,3033,65.71,5.00%,0.1424390243902439,1992.9,3033,Cascaded,2027,1992.9,3033
D0,DC/9E/7,CRJ-900,5.1,,DC,9E,7,,,CRJ-900,61.92,11427,18455,65.01,5.00%,0.8575609756097561,11998.35,18455,Cascaded,2027,11998.35,18455
D0,DC/9E/8,CRJ-700,5.1,,DC,9E,8,,,CRJ-700,72.94,2380,3263,76.59,5.00%,0.14252350440146117,2499.0,3263,Cascaded,2027,2499.0,3263
D0,DC/9E/8,CRJ-900,5.1,,DC,9E,8,,,CRJ-900,73.96,14319,19361,77.66,5.00%,0.8574764955985388,15034.95,19361,Cascaded,2027,15034.95,19361
D0,DC/9E/9,CRJ-700,5.1,,DC,9E,9,,,CRJ-700,79.72,2476,3106,83.7,5.00%,0.14493092952470146,2599.8,3106,Cascaded,2027,2599.8,3106
D0,DC/9E/9,CRJ-900,5.1,,DC,9E,9,,,CRJ-900,79.98,14608,18264,83.98,5.00%,0.8550690704752986,15338.4,18264,Cascaded,2027,15338.400000000001,18264
D0,DC/OO/1,CRJ-700,5.1,,DC,OO,1,,,CRJ-700,51.76,308,595,54.35,5.00%,0.02191079177633919,323.4,595,Cascaded,2027,323.40000000000003,595
