KPI_Name,parent,node,Tier,sys,ml_dc_1,ml_dc_2,Mo_Nb,frst_flt_ind,dom_int,vendor,station,fleet,Baseline,Baseline_Num,Baseline_Den,Goal,Stretch,Contribution,KPI_Num,KPI_Den,Split,Source,Goal_Yr,YTD_Num,YTD_Den
D0,sys/DC/9E,7,4.0,sys,DC,9E,7,,,,,,62.05,13324,21473,65.15,5.00%,0.08423955685277594,13990,21473,False,Cascaded,2027,102900,147966
D0,sys/DC/9E,8,4.0,sys,DC,9E,8,,,,,,73.84,16699,22615,77.53,5.00%,0.08871967485798575,17534,22615,False,Cascaded,2027,120433,170581
D0,sys/DC/9E,9,4.0,sys,DC,9E,9,,,,,,79.96,17081,21361,83.96,5.00%,0.08380017575244013,17935,21361,False,Cascaded,2027,138369,191942
D0,sys/DC/9E/1,First Flight,5.0,sys,DC,9E,1,First Flight,,,,,81.74,2878,3521,85.83,5.00%,0.179798805086044,3022,3521,False,Cascaded,2027,3021,3521
D0,sys/DC/9E/1,Not First Flight,5.0,sys,DC,9E,1,Not First Flight,,,,,66.69,10712,16062,70.03,5.00%,0.8202011949139559,11248,16062,False,Cascaded,2027,11247,16062
D0,sys/DC/9E/1/First Flight,CRJ-700,6.1,sys,DC,9E,1,First Flight,,,,CRJ-700,80.51,380,472,84.53,5.00%,0.13405282590173245,399,472,True,Cascaded,2027,399,472
D0,sys/DC/9E/1/First Flight,CRJ-900,6.1,sys,DC,9E,1,First Flight,,,,CRJ-900,81.93,2498,3049,86.02,5.00%,0.8659471740982675,2623,3049,True,Cascaded,2027,2622,3049
D0,sys/DC/9E/1/First Flight,D,6.0,sys,DC,9E,1,First Flight,D,,,,81.77,2696,3297,85.86,5.00%,0.9363817097415507,2831,3297,False,Cascaded,2027,2830,3297
D0,sys/DC/9E/1/First Flight,I,6.0,sys,DC,9E,1,First Flight,I,,,,81.25,182,224,85.31,5.00%,0.0636182902584493,191,224,False,Cascaded,2027,191,224
D0,sys/DC/9E/1/First Flight/D,Delta,7.0,sys,DC,9E,1,First Flight,D,Delta,,,81.29,1542,1897,85.35,5.00%,0.5753715498938429,1619,1897,False,Cascaded,2027,1619,1897
D0,sys/DC/9E/1/First Flight/D,Menzies Aviation,7.0,sys,DC,9E,1,First Flight,D,Menzies Aviation,,,82.67,124,150,86.8,5.00%,0.04549590536851683,130,150,False,Cascaded,2027,130,150
D0,sys/DC/9E/1/First Flight/D,Unifi,7.0,sys,DC,9E,1,First Flight,D,Unifi,,,82.4,1030,1250,86.52,5.00%,0.3791325447376403,1082,1250,False,Cascaded,2027,1081,1250
D0,sys/DC/9E/1/First Flight/D/Delta,ALB,8.0,sys,DC,9E,1,First Flight,D,Delta,ALB,,82.14,23,28,86.25,5.00%,0.014760147601476014,24,28,False,Cascaded,2027,24,28
D0,sys/DC/9E/1/First Flight/D/Delta,ATL,8.0,sys,DC,9E,1,First Flight,D,Delta,ATL,,82.43,122,148,86.55,5.00%,0.07801792303637323,128,148,False,Cascaded,2027,128,148
D0,sys/DC/9E/1/First Flight/D/Delta,BHM,8.0,sys,DC,9E,1,First Flight,D,Delta,BHM,,78.38,29,37,82.3,5.00%,0.019504480759093307,30,37,False,Cascaded,2027,30,37
D0,sys/DC/9E/1/First Flight/D/Delta,BNA,8.0,sys,DC,9E,1,First Flight,D,Delta,BNA,,73.33,22,30,77.0,5.00%,0.0158144438587243,23,30,False,Cascaded,2027,23,30
D0,sys/DC/9E/1/First Flight/D/Delta,CAE,8.0,sys,DC,9E,1,First Flight,D,Delta,CAE,,90.0,27,30,94.5,5.00%,0.0158144438587243,28,30,False,Cascaded,2027,28,30
D0,sys/DC/9E/1/First Flight/D/Delta,CHS,8.0,sys,DC,9E,1,First Flight,D,Delta,CHS,,90.62,29,32,95.16,5.00%,0.01686874011597259,30,32,False,Cascaded,2027,30,32
D0,sys/DC/9E/1/First Flight/D/Delta,CLE,8.0,sys,DC,9E,1,First Flight,D,Delta,CLE,,69.61,71,102,73.09,5.00%,0.05376910911966262,75,102,False,Cascaded,2027,74,102
D0,sys/DC/9E/1/First Flight/D/Delta,CLT,8.0,sys,DC,9E,1,First Flight,D,Delta,CLT,,75.76,25,33,79.55,5.00%,0.01739588824459673,26,33,False,Cascaded,2027,26,33
D0,sys/DC/9E/1/First Flight/D/Delta,CMH,8.0,sys,DC,9E,1,First Flight,D,Delta,CMH,,78.12,25,32,82.03,5.00%,0.01686874011597259,26,32,False,Cascaded,2027,26,32
D0,sys/DC/9E/1/First Flight/D/Delta,CVG,8.0,sys,DC,9E,1,First Flight,D,Delta,CVG,,82.0,164,200,86.1,5.00%,0.10542962572482868,172,200,False,Cascaded,2027,172,200
D0,sys/DC/9E/1/First Flight/D/Delta,DCA,8.0,sys,DC,9E,1,First Flight,D,Delta,DCA,,75.0,15,20,78.75,5.00%,0.010542962572482868,16,20,False,Cascaded,2027,15,20
D0,sys/DC/9E/1/First Flight/D/Delta,DTW,8.0,sys,DC,9E,1,First Flight,D,Delta,DTW,,0.0,0,1,0.0,0.00%,0.0005271481286241434,0,1,False,Cascaded,2027,0,1
D0,sys/DC/9E/1/First Flight/D/Delta,EWR,8.0,sys,DC,9E,1,First Flight,D,Delta,EWR,,0.0,0,1,0.0,0.00%,0.0005271481286241434,0,1,False,Cascaded,2027,0,1
D0,sys/DC/9E/1/First Flight/D/Delta,GRB,8.0,sys,DC,9E,1,First Flight,D,Delta,GRB,,100.0,1,1,105.0,5.00%,0.0005271481286241434,1,1,False,Cascaded,2027,1,1
D0,sys/DC/9E/1/First Flight/D/Delta,GRR,8.0,sys,DC,9E,1,First Flight,D,Delta,GRR,,42.11,16,38,44.21,5.00%,0.020031628887717447,17,38,False,Cascaded,2027,16,38
D0,sys/DC/9E/1/First Flight/D/Delta,GSO,8.0,sys,DC,9E,1,First Flight,D,Delta,GSO,,100.0,4,4,105.0,5.00%,0.0021085925144965737,4,4,False,Cascaded,2027,4,4
D0,sys/DC/9E/1/First Flight/D/Delta,GSP,8.0,sys,DC,9E,1,First Flight,D,Delta,GSP,,86.96,20,23,91.3,5.00%,0.012124406958355299,21,23,False,Cascaded,2027,21,23
D0,sys/DC/9E/1/First Flight/D/Delta,HSV,8.0,sys,DC,9E,1,First Flight,D,Delta,HSV,,86.36,19,22,90.68,5.00%,0.011597258829731154,20,22,False,Cascaded,2027,19,22
D0,sys/DC/9E/1/First Flight/D/Delta,IAD,8.0,sys,DC,9E,1,First Flight,D,Delta,IAD,,66.67,2,3,70.0,5.00%,0.0015814443858724301,2,3,False,Cascaded,2027,2,3
D0,sys/DC/9E/1/First Flight/D/Delta,IND,8.0,sys,DC,9E,1,First Flight,D,Delta,IND,,91.53,54,59,96.1,5.00%,0.03110173958882446,57,59,False,Cascaded,2027,56,59
D0,sys/DC/9E/1/First Flight/D/Delta,JAN,8.0,sys,DC,9E,1,First Flight,D,Delta,JAN,,100.0,4,4,105.0,5.00%,0.0021085925144965737,4,4,False,Cascaded,2027,4,4
D0,sys/DC/9E/1/First Flight/D/Delta,JAX,8.0,sys,DC,9E,1,First Flight,D,Delta,JAX,,88.0,44,50,92.4,5.00%,0.02635740643120717,46,50,False,Cascaded,2027,46,50
D0,sys/DC/9E/1/First Flight/D/Delta,JFK,8.0,sys,DC,9E,1,First Flight,D,Delta,JFK,,85.14,63,74,89.39,5.00%,0.03900896151818661,66,74,False,Cascaded,2027,66,74
D0,sys/DC/9E/1/First Flight/D/Delta,LEX,8.0,sys,DC,9E,1,First Flight,D,Delta,LEX,,83.33,10,12,87.5,5.00%,0.0063257775434897206,10,12,False,Cascaded,2027,10,12
D0,sys/DC/9E/1/First Flight/D/Delta,LGA,8.0,sys,DC,9E,1,First Flight,D,Delta,LGA,,93.75,120,128,98.44,5.00%,0.06747496046389036,126,128,False,Cascaded,2027,126,128
D0,sys/DC/9E/1/First Flight/D/Delta,LIT,8.0,sys,DC,9E,1,First Flight,D,Delta,LIT,,65.0,13,20,68.25,5.00%,0.010542962572482868,14,20,False,Cascaded,2027,13,20
D0,sys/DC/9E/1/First Flight/D/Delta,MCI,8.0,sys,DC,9E,1,First Flight,D,Delta,MCI,,66.67,4,6,70.0,5.00%,0.0031628887717448603,4,6,False,Cascaded,2027,4,6
D0,sys/DC/9E/1/First Flight/D/Delta,MEM,8.0,sys,DC,9E,1,First Flight,D,Delta,MEM,,82.14,23,28,86.25,5.00%,0.014760147601476014,24,28,False,Cascaded,2027,24,28
D0,sys/DC/9E/1/First Flight/D/Delta,MKE,8.0,sys,DC,9E,1,First Flight,D,Delta,MKE,,84.85,28,33,89.09,5.00%,0.01739588824459673,29,33,False,Cascaded,2027,29,33
D0,sys/DC/9E/1/First Flight/D/Delta,MOB,8.0,sys,DC,9E,1,First Flight,D,Delta,MOB,,100.0,4,4,105.0,5.00%,0.0021085925144965737,4,4,False,Cascaded,2027,4,4
D0,sys/DC/9E/1/First Flight/D/Delta,MSN,8.0,sys,DC,9E,1,First Flight,D,Delta,MSN,,86.67,13,15,91.0,5.00%,0.00790722192936215,14,15,False,Cascaded,2027,13,15
D0,sys/DC/9E/1/First Flight/D/Delta,OKC,8.0,sys,DC,9E,1,First Flight,D,Delta,OKC,,89.29,25,28,93.75,5.00%,0.014760147601476014,26,28,False,Cascaded,2027,26,28
D0,sys/DC/9E/1/First Flight/D/Delta,ORD,8.0,sys,DC,9E,1,First Flight,D,Delta,ORD,,56.52,13,23,59.35,5.00%,0.012124406958355299,14,23,False,Cascaded,2027,13,23
D0,sys/DC/9E/1/First Flight/D/Delta,ORF,8.0,sys,DC,9E,1,First Flight,D,Delta,ORF,,85.33,64,75,89.6,5.00%,0.03953610964681075,67,75,False,Cascaded,2027,67,75
D0,sys/DC/9E/1/First Flight/D/Delta,PIT,8.0,sys,DC,9E,1,First Flight,D,Delta,PIT,,92.0,23,25,96.6,5.00%,0.013178703215603585,24,25,False,Cascaded,2027,24,25
D0,sys/DC/9E/1/First Flight/D/Delta,PVD,8.0,sys,DC,9E,1,First Flight,D,Delta,PVD,,33.33,1,3,35.0,5.00%,0.0015814443858724301,1,3,False,Cascaded,2027,1,3
D0,sys/DC/9E/1/First Flight/D/Delta,RDU,8.0,sys,DC,9E,1,First Flight,D,Delta,RDU,,79.23,145,183,83.2,5.00%,0.09646810753821825,152,183,False,Cascaded,2027,152,183
D0,sys/DC/9E/1/First Flight/D/Delta,RIC,8.0,sys,DC,9E,1,First Flight,D,Delta,RIC,,83.61,51,61,87.79,5.00%,0.032156035846072746,54,61,False,Cascaded,2027,53,61
D0,sys/DC/9E/1/First Flight/D/Delta,SAV,8.0,sys,DC,9E,1,First Flight,D,Delta,SAV,,88.57,31,35,93.0,5.00%,0.01845018450184502,33,35,False,Cascaded,2027,32,35
D0,sys/DC/9E/1/First Flight/D/Delta,SDF,8.0,sys,DC,9E,1,First Flight,D,Delta,SDF,,79.31,23,29,83.28,5.00%,0.015287295730100159,24,29,False,Cascaded,2027,24,29
D0,sys/DC/9E/1/First Flight/D/Delta,STL,8.0,sys,DC,9E,1,First Flight,D,Delta,STL,,79.31,23,29,83.28,5.00%,0.015287295730100159,24,29,False,Cascaded,2027,24,29
D0,sys/DC/9E/1/First Flight/D/Delta,SYR,8.0,sys,DC,9E,1,First Flight,D,Delta,SYR,,78.72,37,47,82.66,5.00%,0.024775962045334738,39,47,False,Cascaded,2027,38,47
D0,sys/DC/9E/1/First Flight/D/Delta,TYS,8.0,sys,DC,9E,1,First Flight,D,Delta,TYS,,79.43,112,141,83.4,5.00%,0.07432788613600422,118,141,False,Cascaded,2027,117,141
D0,sys/DC/9E/1/First Flight/D/Menzies Aviation,ABY,8.0,sys,DC,9E,1,First Flight,D,Menzies Aviation,ABY,,83.33,25,30,87.5,5.00%,0.2,26,30,False,Cascaded,2027,26,30
D0,sys/DC/9E/1/First Flight/D/Menzies Aviation,BQK,8.0,sys,DC,9E,1,First Flight,D,Menzies Aviation,BQK,,76.67,23,30,80.5,5.00%,0.2,24,30,False,Cascaded,2027,24,30
D0,sys/DC/9E/1/First Flight/D/Menzies Aviation,DHN,8.0,sys,DC,9E,1,First Flight,D,Menzies Aviation,DHN,,83.33,25,30,87.5,5.00%,0.2,26,30,False,Cascaded,2027,26,30
D0,sys/DC/9E/1/First Flight/D/Menzies Aviation,GTR,8.0,sys,DC,9E,1,First Flight,D,Menzies Aviation,GTR,,83.33,25,30,87.5,5.00%,0.2,26,30,False,Cascaded,2027,26,30
D0,sys/DC/9E/1/First Flight/D/Menzies Aviation,VLD,8.0,sys,DC,9E,1,First Flight,D,Menzies Aviation,VLD,,86.67,26,30,91.0,5.00%,0.2,27,30,False,Cascaded,2027,27,30
D0,sys/DC/9E/1/First Flight/D/Unifi,ABE,8.0,sys,DC,9E,1,First Flight,D,Unifi,ABE,,85.19,23,27,89.44,5.00%,0.0216,24,27,False,Cascaded,2027,24,27
D0,sys/DC/9E/1/First Flight/D/Unifi,AEX,8.0,sys,DC,9E,1,First Flight,D,Unifi,AEX,,80.0,24,30,84.0,5.00%,0.024,25,30,False,Cascaded,2027,25,30
D0,sys/DC/9E/1/First Flight/D/Unifi,AGS,8.0,sys,DC,9E,1,First Flight,D,Unifi,AGS,,92.31,24,26,96.92,5.00%,0.0208,25,26,False,Cascaded,2027,25,26
D0,sys/DC/9E/1/First Flight/D/Unifi,AVL,8.0,sys,DC,9E,1,First Flight,D,Unifi,AVL,,77.42,24,31,81.29,5.00%,0.0248,25,31,False,Cascaded,2027,25,31
D0,sys/DC/9E/1/First Flight/D/Unifi,BGR,8.0,sys,DC,9E,1,First Flight,D,Unifi,BGR,,95.83,23,24,100.62,5.00%,0.0192,24,24,False,Cascaded,2027,24,24
D0,sys/DC/9E/1/First Flight/D/Unifi,BIS,8.0,sys,DC,9E,1,First Flight,D,Unifi,BIS,,66.67,18,27,70.0,5.00%,0.0216,19,27,False,Cascaded,2027,18,27
D0,sys/DC/9E/1/First Flight/D/Unifi,BMI,8.0,sys,DC,9E,1,First Flight,D,Unifi,BMI,,86.67,26,30,91.0,5.00%,0.024,27,30,False,Cascaded,2027,27,30
D0,sys/DC/9E/1/First Flight/D/Unifi,BTR,8.0,sys,DC,9E,1,First Flight,D,Unifi,BTR,,0.0,0,1,0.0,0.00%,0.0008,0,1,False,Cascaded,2027,0,1
D0,sys/DC/9E/1/First Flight/D/Unifi,BTV,8.0,sys,DC,9E,1,First Flight,D,Unifi,BTV,,87.76,43,49,92.14,5.00%,0.0392,45,49,False,Cascaded,2027,45,49
D0,sys/DC/9E/1/First Flight/D/Unifi,BUF,8.0,sys,DC,9E,1,First Flight,D,Unifi,BUF,,73.08,19,26,76.73,5.00%,0.0208,20,26,False,Cascaded,2027,19,26
D0,sys/DC/9E/1/First Flight/D/Unifi,CHA,8.0,sys,DC,9E,1,First Flight,D,Unifi,CHA,,87.88,29,33,92.27,5.00%,0.0264,30,33,False,Cascaded,2027,30,33
D0,sys/DC/9E/1/First Flight/D/Unifi,CHO,8.0,sys,DC,9E,1,First Flight,D,Unifi,CHO,,94.74,54,57,99.47,5.00%,0.0456,57,57,False,Cascaded,2027,56,57
D0,sys/DC/9E/1/First Flight/D/Unifi,CID,8.0,sys,DC,9E,1,First Flight,D,Unifi,CID,,88.89,16,18,93.33,5.00%,0.0144,17,18,False,Cascaded,2027,16,18
D0,sys/DC/9E/1/First Flight/D/Unifi,CRW,8.0,sys,DC,9E,1,First Flight,D,Unifi,CRW,,100.0,4,4,105.0,5.00%,0.0032,4,4,False,Cascaded,2027,4,4
D0,sys/DC/9E/1/First Flight/D/Unifi,CSG,8.0,sys,DC,9E,1,First Flight,D,Unifi,CSG,,93.1,27,29,97.76,5.00%,0.0232,28,29,False,Cascaded,2027,28,29
D0,sys/DC/9E/1/First Flight/D/Unifi,CWA,8.0,sys,DC,9E,1,First Flight,D,Unifi,CWA,,87.1,27,31,91.45,5.00%,0.0248,28,31,False,Cascaded,2027,28,31
D0,sys/DC/9E/1/First Flight/D/Unifi,DLH,8.0,sys,DC,9E,1,First Flight,D,Unifi,DLH,,84.38,27,32,88.59,5.00%,0.0256,28,32,False,Cascaded,2027,28,32
D0,sys/DC/9E/1/First Flight/D/Unifi,DSM,8.0,sys,DC,9E,1,First Flight,D,Unifi,DSM,,82.56,71,86,86.69,5.00%,0.0688,75,86,False,Cascaded,2027,74,86
D0,sys/DC/9E/1/First Flight/D/Unifi,DTW,8.0,sys,DC,9E,1,First Flight,D,Unifi,DTW,,69.23,36,52,72.69,5.00%,0.0416,38,52,False,Cascaded,2027,37,52
D0,sys/DC/9E/1/First Flight/D/Unifi,EVV,8.0,sys,DC,9E,1,First Flight,D,Unifi,EVV,,88.0,22,25,92.4,5.00%,0.02,23,25,False,Cascaded,2027,23,25
D0,sys/DC/9E/1/First Flight/D/Unifi,FAR,8.0,sys,DC,9E,1,First Flight,D,Unifi,FAR,,75.0,3,4,78.75,5.00%,0.0032,3,4,False,Cascaded,2027,3,4
D0,sys/DC/9E/1/First Flight/D/Unifi,FAY,8.0,sys,DC,9E,1,First Flight,D,Unifi,FAY,,75.86,22,29,79.66,5.00%,0.0232,23,29,False,Cascaded,2027,23,29
D0,sys/DC/9E/1/First Flight/D/Unifi,FSD,8.0,sys,DC,9E,1,First Flight,D,Unifi,FSD,,94.44,17,18,99.17,5.00%,0.0144,18,18,False,Cascaded,2027,17,18
D0,sys/DC/9E/1/First Flight/D/Unifi,GFK,8.0,sys,DC,9E,1,First Flight,D,Unifi,GFK,,66.67,2,3,70.0,5.00%,0.0024,2,3,False,Cascaded,2027,2,3
D0,sys/DC/9E/1/First Flight/D/Unifi,ICT,8.0,sys,DC,9E,1,First Flight,D,Unifi,ICT,,80.65,25,31,84.68,5.00%,0.0248,26,31,False,Cascaded,2027,26,31
D0,sys/DC/9E/1/First Flight/D/Unifi,ITH,8.0,sys,DC,9E,1,First Flight,D,Unifi,ITH,,100.0,25,25,105.0,5.00%,0.02,26,25,False,Cascaded,2027,26,25
D0,sys/DC/9E/1/First Flight/D/Unifi,LFT,8.0,sys,DC,9E,1,First Flight,D,Unifi,LFT,,75.0,3,4,78.75,5.00%,0.0032,3,4,False,Cascaded,2027,3,4
D0,sys/DC/9E/1/First Flight/D/Unifi,MDT,8.0,sys,DC,9E,1,First Flight,D,Unifi,MDT,,100.0,4,4,105.0,5.00%,0.0032,4,4,False,Cascaded,2027,4,4
D0,sys/DC/9E/1/First Flight/D/Unifi,MGM,8.0,sys,DC,9E,1,First Flight,D,Unifi,MGM,,76.67,23,30,80.5,5.00%,0.024,24,30,False,Cascaded,2027,24,30
D0,sys/DC/9E/1/First Flight/D/Unifi,MLI,8.0,sys,DC,9E,1,First Flight,D,Unifi,MLI,,83.33,25,30,87.5,5.00%,0.024,26,30,False,Cascaded,2027,26,30
D0,sys/DC/9E/1/First Flight/D/Unifi,MLU,8.0,sys,DC,9E,1,First Flight,D,Unifi,MLU,,88.89,24,27,93.33,5.00%,0.0216,25,27,False,Cascaded,2027,25,27
D0,sys/DC/9E/1/First Flight/D/Unifi,MOT,8.0,sys,DC,9E,1,First Flight,D,Unifi,MOT,,72.73,16,22,76.36,5.00%,0.0176,17,22,False,Cascaded,2027,16,22
D0,sys/DC/9E/1/First Flight/D/Unifi,MSP,8.0,sys,DC,9E,1,First Flight,D,Unifi,MSP,,78.05,64,82,81.95,5.00%,0.0656,67,82,False,Cascaded,2027,67,82
D0,sys/DC/9E/1/First Flight/D/Unifi,OAJ,8.0,sys,DC,9E,1,First Flight,D,Unifi,OAJ,,85.71,24,28,90.0,5.00%,0.0224,25,28,False,Cascaded,2027,25,28
D0,sys/DC/9E/1/First Flight/D/Unifi,OMA,8.0,sys,DC,9E,1,First Flight,D,Unifi,OMA,,77.42,24,31,81.29,5.00%,0.0248,25,31,False,Cascaded,2027,25,31
D0,sys/DC/9E/1/First Flight/D/Unifi,PWM,8.0,sys,DC,9E,1,First Flight,D,Unifi,PWM,,79.17,19,24,83.12,5.00%,0.0192,20,24,False,Cascaded,2027,19,24
D0,sys/DC/9E/1/First Flight/D/Unifi,RAP,8.0,sys,DC,9E,1,First Flight,D,Unifi,RAP,,89.66,26,29,94.14,5.00%,0.0232,27,29,False,Cascaded,2027,27,29
D0,sys/DC/9E/1/First Flight/D/Unifi,ROA,8.0,sys,DC,9E,1,First Flight,D,Unifi,ROA,,80.0,16,20,84.0,5.00%,0.016,17,20,False,Cascaded,2027,16,20
D0,sys/DC/9E/1/First Flight/D/Unifi,ROC,8.0,sys,DC,9E,1,First Flight,D,Unifi,ROC,,58.49,31,53,61.42,5.00%,0.0424,33,53,False,Cascaded,2027,32,53
D0,sys/DC/9E/1/First Flight/D/Unifi,RST,8.0,sys,DC,9E,1,First Flight,D,Unifi,RST,,87.1,27,31,91.45,5.00%,0.0248,28,31,False,Cascaded,2027,28,31
D0,sys/DC/9E/1/First Flight/D/Unifi,SGF,8.0,sys,DC,9E,1,First Flight,D,Unifi,SGF,,86.67,26,30,91.0,5.00%,0.024,27,30,False,Cascaded,2027,27,30
D0,sys/DC/9E/1/First Flight/D/Unifi,TRI,8.0,sys,DC,9E,1,First Flight,D,Unifi,TRI,,86.21,25,29,90.52,5.00%,0.0232,26,29,False,Cascaded,2027,26,29
D0,sys/DC/9E/1/First Flight/D/Unifi,TUL,8.0,sys,DC,9E,1,First Flight,D,Unifi,TUL,,75.0,15,20,78.75,5.00%,0.016,16,20,False,Cascaded,2027,15,20
D0,sys/DC/9E/1/First Flight/D/Unifi,VPS,8.0,sys,DC,9E,1,First Flight,D,Unifi,VPS,,100.0,3,3,105.0,5.00%,0.0024,3,3,False,Cascaded,2027,3,3
D0,sys/DC/9E/1/First Flight/D/Unifi,XNA,8.0,sys,DC,9E,1,First Flight,D,Unifi,XNA,,80.0,4,5,84.0,5.00%,0.004,4,5,False,Cascaded,2027,4,5
D0,sys/DC/9E/1/First Flight/I,Delta,7.0,sys,DC,9E,1,First Flight,I,Delta,,,81.41,162,199,85.48,5.00%,0.8883928571428571,170,199,False,Cascaded,2027,170,199
D0,sys/DC/9E/1/First Flight/I,Unifi,7.0,sys,DC,9E,1,First Flight,I,Unifi,,,80.0,20,25,84.0,5.00%,0.11160714285714286,21,25,False,Cascaded,2027,21,25
D0,sys/DC/9E/1/First Flight/I/Delta,ATL,8.0,sys,DC,9E,1,First Flight,I,Delta,ATL,,70.0,7,10,73.5,5.00%,0.05025125628140704,7,10,False,Cascaded,2027,7,10
D0,sys/DC/9E/1/First Flight/I/Delta,LGA,8.0,sys,DC,9E,1,First Flight,I,Delta,LGA,,96.43,27,28,101.25,5.00%,0.1407035175879397,28,28,False,Cascaded,2027,28,28
D0,sys/DC/9E/1/First Flight/I/Delta,YUL,8.0,sys,DC,9E,1,First Flight,I,Delta,YUL,,87.1,27,31,91.45,5.00%,0.15577889447236182,28,31,False,Cascaded,2027,28,31
D0,sys/DC/9E/1/First Flight/I/Delta,YYZ,8.0,sys,DC,9E,1,First Flight,I,Delta,YYZ,,77.69,101,130,81.58,5.00%,0.6532663316582915,106,130,False,Cascaded,2027,106,130
D0,sys/DC/9E/1/First Flight/I/Unifi,DTW,8.0,sys,DC,9E,1,First Flight,I,Unifi,DTW,,86.96,20,23,91.3,5.00%,0.92,21,23,False,Cascaded,2027,21,23
D0,sys/DC/9E/1/First Flight/I/Unifi,MSP,8.0,sys,DC,9E,1,First Flight,I,Unifi,MSP,,0.0,0,2,0.0,0.00%,0.08,0,2,False,Cascaded,2027,0,2
D0,sys/DC/9E/1/Not First Flight,CRJ-700,6.1,sys,DC,9E,1,Not First Flight,,,,CRJ-700,63.09,1434,2273,66.24,5.00%,0.14151413273564936,1506,2273,True,Cascaded,2027,1505,2273
D0,sys/DC/9E/1/Not First Flight,CRJ-900,6.1,sys,DC,9E,1,Not First Flight,,,,CRJ-900,67.29,9278,13789,70.65,5.00%,0.8584858672643506,9742,13789,True,Cascaded,2027,9741,13789
D0,sys/DC/9E/1/Not First Flight,D,6.0,sys,DC,9E,1,Not First Flight,D,,,,66.77,10088,15108,70.11,5.00%,0.9406051550242809,10592,15108,False,Cascaded,2027,10592,15108
D0,sys/DC/9E/1/Not First Flight,I,6.0,sys,DC,9E,1,Not First Flight,I,,,,65.41,624,954,68.68,5.00%,0.05939484497571909,655,954,False,Cascaded,2027,655,954
D0,sys/DC/9E/1/Not First Flight/D,Delta,7.0,sys,DC,9E,1,Not First Flight,D,Delta,,,68.99,6862,9947,72.43,5.00%,0.6583929044214986,7205,9947,False,Cascaded,2027,7205,9947
D0,sys/DC/9E/1/Not First Flight/D,Menzies Aviation,7.0,sys,DC,9E,1,Not First Flight,D,Menzies Aviation,,,73.91,170,230,77.61,5.00%,0.015223722531109346,178,230,False,Cascaded,2027,178,230
D0,sys/DC/9E/1/Not First Flight/D,Unifi,7.0,sys,DC,9E,1,Not First Flight,D,Unifi,,,61.98,3056,4931,65.07,5.00%,0.3263833730473921,3209,4931,False,Cascaded,2027,3208,4931
